week,date,rank,skater,trick,line,switch,stance,slowmo,replayed,slam,NY,oddball,obstacle,obstacledetail,location,notes,points,video,videotype,company,ig
1,1/7/22,10,Jahmal Williams,wallie to fs 5050,,,regular,,1,,,,ledge,barrier,,,1,Hopps x Labor,company,Hopps,
1,1/7/22,9,Luke Graffis,fs tailslide to fs bigspin,1,,regular,,,,,,ledge,,,,2,Norma,homie,,
1,1/7/22,8,Forest Bailey,bs tailslide to fakie,,,regular,1,,,,,curb,curved ledge,,,3,Leap Year,homie,,
1,1/7/22,7,Kyler Garrison,drop to sw manual to sw ollie,,1,regular,1,1,,1,1,gap,gap to pad to gap,D7,quick feet,4,Hopps x Labor,company,Hopps,
1,1/7/22,6,Tyree Johnson,deck bonk to nosegrind,,,regular,1,1,,,1,ledge,bench,,,5,Leap Year,homie,,
1,1/7/22,5,Aidan Olmstead,ride-on bs 5050 to ride-on bs 5050,,,regular,,,,,,flat rail,rail to rail,,,6,Leap Year,homie,,
1,1/7/22,4,Thanos Panou,bs 5050 to bs 5050,,,regular,1,,1,1,,ledge,ledge to rail,,,7,Misinformation,solo,,
1,1/7/22,3,Zach McBride,bs wallie,,,regular,,,1,,,wall,into bank,,,8,Norma,homie,,
1,1/7/22,2,Jasper Stieve,fs 180 to sw fs nosegrind,,,regular,,,,1,,ledge,outledge,Pyramid Ledges,,9,Visitors,solo,Picture Show,
1,1/7/22,1,Samuel Dietzel,kickflip,,,regular,1,,,,,stairs,stairs to disaster,Karlsplatz,into stairs,10,The Karlsplatz Video,homie,Turtle Productions,
2,1/14/22,10,Naoya Kato,ollie to ollie to ollie,1,,regular,,,,1,,pad,pad to chain,,quick feet,1,Peace n Love V.3,homie,,
2,1/14/22,9,Ish Cepeda,shuv to manual to fs 180,1,,regular,,,,,,pad,,Germany,,2,Plazacation: Berlin,company,Thrasher,
2,1/14/22,8,Ariana Spencer,kickflip,,,regular,1,1,,,,gap,,,woman,3,Pilot,solo,,
2,1/14/22,7,Nick Lane,ride-on 5050 to shuv,,,regular,1,,,1,1,flat rail,,,,4,Videobrain,homie,,
2,1/14/22,6,Cooper Latimer,bs blunt to bs blunt to fakie,1,,regular,,,,,1,ledge,ledge to ledge,Santa Monica ledges,super sick,5,Coop,solo,,
2,1/14/22,5,Issei Morinaka,sw fs 360,1,1,switch,,,,,,stairs,,,5 trick line,6,Peace n Love V.3,homie,,
2,1/14/22,4,Chris Athans,pole jam to manual to pole jam,1,,regular,,,,,,pole jam,pole jam flat pole jam,SF Hills,6 trick line,7,Deep Dish x Snack 2022,company,Deep Dish,
2,1/14/22,3,Patrick Rogalski,fs nosegrind to nollie kickflip,,,regular,1,1,1,,,ledge,into bank,Germany,,8,Plazacation: Berlin,company,Thrasher,
2,1/14/22,2,Leonardo Bodelazzi,nollie,,,nollie,,,,,,gap,flat gap,Universitat,,9,Leozinho,solo,,
2,1/14/22,1,Nick Matthews,bs lipslide,,,regular,1,1,,1,,ledge,gap to ledge,,HUF tribute,10,Venture x Uprise,company,Venture,
3,1/21/22,10,Evan Wasser,bs 180 to sw bs 5-0 to sw fs 180,,,regular,,,,,,ledge,bank to ledge,indoor park,,1,,,,1
3,1/21/22,9,Trevor Thompson,bs 180 to fakie manual to halfcab,1,,regular,,1,,,,pad,ledge to pad,,quick feet,2,Street Fighter II,company,WKND,
3,1/21/22,8,Jake Lemmonds,fs 5050 to ollie,,,regular,1,1,,1,,handrail,up rail to gap,,,3,Til It’s Gone,homie,,
3,1/21/22,7,Andrew Considine,slappy bs crook to bs 180,,,regular,1,1,,,,transition,street transition,,,4,Street Fighter II,company,WKND,
3,1/21/22,6,Alan Bell,fs tailslide to kickflip,,,regular,,,1,,,ledge,hubba,NYC hubba to ledge,,5,Til It’s Gone,homie,,
3,1/21/22,5,Vinicius Costa,bs blunt to fakie,1,,regular,,,,,,handrail,,,,6,Na Missão Cut #01,homie,,
3,1/21/22,4,Noah Singleton,ride-on 5050,,,regular,,1,1,1,,ledge,outledge,,,7,Til It’s Gone,homie,,
3,1/21/22,3,Na-Kel Smith,nollie hardflip,1,,nollie,1,1,,,,stairs,,,,8,,,FA,1
3,1/21/22,2,KB,kickflip to bs tailslide to bs 360,,,regular,1,1,,,1,ledge,,,,9,,,FA,1
3,1/21/22,1,Shaun Paul,bs noseslide,,,regular,1,1,1,,,ledge,ledge to gap,,,10,NorthUnda,solo,DC Shoes,
4,1/28/22,10,Henry Gibbs,fs 5050,,,regular,,,1,,,flat rail,keyhole,,keyhole + my roommate atm lol,1,Grey Part,solo,Grey,
4,1/28/22,9,Kaito Sagawa,deck bonk  ,,,regular,1,1,,,1,flat rail,into bank,,,2,,,,
4,1/28/22,8,Alex Yost,bs boardslide,,,regular,1,,,,,handrail,into bank,,,3,Due$ Paid,solo,,
4,1/28/22,7,Hugo Boserup,fs 5050,1,,regular,,,,,1,transition,on chains,wooden bowl,impossible to log,4,,,,1
4,1/28/22,6,Leo Favaro,halfcab to fs noseslide,1,,fakie,,,,,,ledge,outledge,,,5,Spiritualized,solo,,
4,1/28/22,5,Cooper Winterson,nose manual to bs nosegrind to nose manual,1,,regular,1,,,1,,pad,pad to ledge to pad,Rosalyn Banks?,,6,Shepherd,solo,,
4,1/28/22,4,Erildo Boccacci,sw kickflip to sw bs tailslide,1,1,switch,,,,,,ledge,,,,7,BMG SHAWTY,homie,,
4,1/28/22,3,Jiro Platt,fs lipslide,1,,regular,,1,,,,handrail,,,,8,Time Traveling,solo,,
4,1/28/22,2,Austyn Gillette,fs noseslide to fs 270,,,regular,1,,,1,,ledge,,Flushings Fountain,,9,Re Est,company,Globe,
4,1/28/22,1,Nick Garcia,bs 5-0 to fs 180,,,regular,,1,1,,,ledge,into bank,,euramp,10,Flowers for Mom,company,Element,
5,2/4/22,10,Cyprus Blanco,kickflip to bs lipslide,,,regular,,1,,,,curb,bump to curb,,,1,driveby,homie,,
5,2/4/22,9,Max Palmer,fs nosegrind transfer,1,,regular,,,, ,,flat rail,out rail,,quick feet,2,Inside Out,company,Carhartt WIP,
5,2/4/22,8,Pete Tirelli,no comply,,,regular,1,1,, ,1,flat,over can,,,3,Inside Out,company,Carhartt WIP,
5,2/4/22,7,Sylvain Tognell,fullcab to sw bs 5050,,,fakie,1,1,,,,curb,gap to curb,,,4,Inside Out,company,Carhartt WIP,
5,2/4/22,6,Justice Lora,360 flip,,,regular,,,,,,gap,into bank,,,5,driveby,homie,,
5,2/4/22,5,Felipe Bartolome,bs boardslide,,,regular,,,,,1,hubba,curved hubba,,into stairs,6,Inside Out,company,Carhartt WIP,
5,2/4/22,4,Remy Taveira,ollie to ollie to ollie,1,,regular,,1,,,,bank,bank to bank to bank,,quick feet,7,Inside Out,company,Carhartt WIP,
5,2/4/22,3,Aiden Mackey,taildrop to 5050,,,regular,1,1,,,1,handrail,,,,8,Randy Farkus,company,FA,
5,2/4/22,2,Deedz,fs blunt to kickflip,,,regular,1,,,,,handrail,,,,9,Deedz Deedz Deedz,solo,,
5,2/4/22,1,Ibu Sanyang,heelflip,1,,regular,1,1,,,,gap,flat gap,,ollie over motorcycle first,10,Inside Out,company,Carhartt WIP,
6,2/11/22,10,Jeremy Murray,fakie ollie to sw fs crook,1,,fakie,,,,,,ledge,,,,1,,,,1
6,2/11/22,9,Leo Cholet,sw fs kickflip,1,1,switch,,,,,,flat,over ledge,,mirror line,2,Doukrez,homie,,
6,2/11/22,8,Jonas Daater,fs blunt to shuv,,,regular,,1,,,,handrail,,,,3,DVA,homie,,
6,2/11/22,7,Gary Almeida,sw fs shuv to sw manual to sw fs shuv,,1,switch,,,,,,pad,,,,4,croons theatre,homie,,
6,2/11/22,6,Mike Anderson,sw wallride to sw bs noseslide,,1,switch,,,,,,ledge,wall to ledge,,,5,Middle Earth,company,Cons x Krooked,
6,2/11/22,5,Gustav Tonnesen,sw kickflip to sw manual to sw ollie,,1,switch,,1,,,,pad,flat,,,6,Doukrez,homie,,
6,2/11/22,4,Emile Laurent,bs crook,,,regular,,1,1,,,handrail,,,,7,,,,1
6,2/11/22,3,Stepan Baras,bs tailslide,1,,regular,,,,,,ledge,outledge,,euramp,8,DVA,homie,,
6,2/11/22,2,Tim Debauche,manual,1,,regular,,,1,,1,pad,into bank,,,9,Doukrez,homie,,
6,2/11/22,1,Victor Campillo,bs 180 to sw manual to sw fs 360,,,regular,,,,,,pad,,,,10,Victor,company,Helas,
7,2/18/22,10,Sully Cormier,melon bash,,,regular,,,,,,stairs,sign on stairs,,,1,Baker Video,company,Baker,
7,2/18/22,9,Marca Barbier,fs crook to fakie,,,regular,1,1,,,,ledge,,,,2,,,,
7,2/18/22,8,John Gardner,fs 5-0,,,regular,1,1,1,,,ledge,outledge,,,3,,,,
7,2/18/22,7,Brianna Delaney,ride-on bs tailslide,1,,regular,,,,,,ledge,,,,4,,,,
7,2/18/22,6,Eric Swick,nose manual to bs nosegrind to nose manual drop nose manual,,,regular,,,,,,pad,,,combo,5,,,,
7,2/18/22,5,Zach Allen,bs 360 kickflip,1,,regular,,1,,,,stairs,,,,6,Baker Video,company,Baker,
7,2/18/22,4,Neil Herrick,bs boardslide,,,regular,,1,,,,flat rail,bump to bar,,,7,,,,
7,2/18/22,3,Rowan Zorilla,bs boardslide to sw fs 5050,,,regular,1,1,,,,handrail,handrail to ledge,,2 clips,8,Baker Video,company,Baker,
7,2/18/22,2,Kader Sylla,bs noseblunt,1,,regular,1,,,,,ledge,table,,,9,Baker Video,company,Baker,
7,2/18/22,1,Andrew Reynolds,varial heelflip,,,regular,,,,,,stairs,,Bay triple set,,10,Baker Video,company,Baker,
8,2/25/22,10,Etienne Gagne,bs boardslide to bridge slide to fakie,,,regular,,,,,1,ledge,benches,,build a spot,1,,,,1
8,2/25/22,9,Nick Persico,bs tailslide to bs kickflip,,,regular,,,,,,ledge,,,,2,Catalyst,homie,,
8,2/25/22,8,Jack Olson,sw bs tailslide to bs wallride,,1,switch,,,,,1,ledge,ledge to wall,,,3,Clip Town USA,homie,,
8,2/25/22,7,John Shanahan,nollie bs 180 to sw fs nosegrind,1,,nollie,,,,1,,ledge,,,,4,,,,1
8,2/25/22,6,Mike Lemnitzer,ride-on fs lipslide to fakie,,,nollie,,,,,,flat rail,,,,5,Clip Town USA,homie,,
8,2/25/22,5,Jeremiah Gray,360 flip,,,regular,1,1,,,,gap,over rail,,,6,Catalyst,homie,,
8,2/25/22,4,Christian Wood,bs crook bonk,1,,regular,,,,,,ledge,outledge,,,7,Bond Volume 2 - AMF,homie,,
8,2/25/22,3,Dalton Jones,wallie to bs boardslide,,,regular,,,,,1,handrail,,,,8,Clip Town USA,homie,,
8,2/25/22,2,Kyle Wilson,sw bs 180,,1,switch,,,,,,gap,,south bank,,9,,,,1
8,2/25/22,1,Pat Gallaher,kickflip to bs noseslide to fakie,,,regular,,,,,,ledge,into bank,,triple replay,10,Clip Town USA,homie,,
9,3/4/22,10,Ville Wester,bs tailslide to bs 270,,,regular,,1,,,,flat rail,,skate park,triple replay,1,,,,1
9,3/4/22,9,Sean Davis,sw fs 360,1,1,switch,,1,,,,stairs,,,triple replay,2,Mother Road,company,Grains,
9,3/4/22,8,Kyle Dekker,wallie,,,regular,1,1,,,,curb,over fence,,,3,Mother Road,company,Grains,
9,3/4/22,7,Spencer Semien,varial heelflip,1,,regular,,,,,,gap,,,,4,Film Trucks,solo,,
9,3/4/22,6,Rodrigo TX,fakie kickflip to sw fs 5-0,1,,fakie,,,,,,ledge,outledge,,,5,Guest Pro,company,Krooked,
9,3/4/22,5,Nik Stain,bs crook,,,regular,,,,,,hubba,,,,6,M003,company,Miles Grip,
9,3/4/22,4,Louie Lopez,fs lipslide,,,regular,1,1,,,,ledge,bump to dumpster,,,7,M003,company,Miles Grip,
9,3/4/22,3,Alexis Lacroix,fs 5050,1,,regular,,,,,1,flat rail,bank to rail,,in the snow,8,,,,1
9,3/4/22,2,Shane Farber,kickflip,1,,regular,,,,,1,gap,,,quick feet,9,Cons part,solo,,
9,3/4/22,1,Jordan Thackeray,fs kickflip,,,regular,1,1,,,,transition,street transition,,,10,Pre-Op,solo,,
10,3/11/22,10,Samantha Secours,fs 5050 to bs bigspin,,,regular,,,1,,,ledge,,,woman,1,Das Bolts,company,Boltswagen,
10,3/11/22,9,Tom Wright,bs tailslide to bs body varial,1,,regular,,1,,,1,ledge,,,,2,Das Bolts,company,Boltswagen,
10,3/11/22,8,Samuel Norgren,no compy to fs blunt to fakie,1,,regular,,1,,,1,ledge,,Hotel De Ville,,3,Clouds,company,Poetic Collectic,
10,3/11/22,7,Mason Cluett,shuv to fs blunt to fakie,,,regular,1,1,1,,,flat rail,bench,,,4,Das Bolts,company,Boltswagen,
10,3/11/22,6,Vitoria Mendonça,heelflip to bs crook,,,regular,,,,,,ledge,,,woman,5,For Us All,solo,,
10,3/11/22,5,Spanky,wallie to bs boardslide,,,regular,,1,,,1,ledge,triple drop,,,6,Horses,solo,,
10,3/11/22,4,Ty Stigney,kickflip to transfer fs noseslide,,,regular,,,,,,ledge,bump to ledge,,2 clips,7,Slingshot,solo,,
10,3/11/22,3,Felipe Bartolome,bs wallride to bs 180 melon,,,regular,,,,,,wall,,CDMX,,8,Perro Sismico,solo,,
10,3/11/22,2,Jason Rainbird,360 flip,1,,regular,,,,,,gap,,,,9,Passport x Nike SB,company,Passport x Nike SB,
10,3/11/22,1,Jack O'Grady,fs lipslide,,,regular,,,1,,,flat rail,gap to rail,,,10,Passport x Nike SB,company,Passport x Nike SB,
11,3/18/22,10,Judah Bubes,kicklip to manual to bs 5050,,,regular,,,,,,pad,pad to ledge,,combo,1,Sparks,company,Melodi,
11,3/18/22,9,Akobi Williams,bs boardslide,,,regular,1,1,1,1,,curb,gap to curb,,,2,Sparks,company,Melodi,
11,3/18/22,8,Ryan Thompson,fs noseblunt,,,regular,,,,,,ledge,curved ledge,,,3,R11VM,company,Roger,
11,3/18/22,7,Reese Barton,fs 5050,1,,regular,,,,,,flat rail,into bank,,,4,R11VM,company,Roger,
11,3/18/22,6,Max Taylor,sw fs 180 to fs 5-0,,1,switch,,1,1,,,ledge,into bank,,,5,R11VM,company,Roger,
11,3/18/22,5,Yosef Bubes,bs 180,1,,regular,,,1,,,stairs,,,,6,Sparks,company,Melodi,
11,3/18/22,4,Bear Myles,slappy fs crook to nose manual to fs noseslide to fakie,,,regular,1,1,,,1,ledge,to pad to ledge,lloyds,combo,7,Some Bear Myles 4 You,solo,,
11,3/18/22,3,Ville Wester,bs 5050 to fs shuv to bs 5050,,,regular,,1,,,,ledge,to hubba,,really cool,8,Oski & Friends: A Bit About Sharks,company,Nike SB,
11,3/18/22,2,Oski,bs 180 to bs 5-0 stall to tail drop,,,regular,,1,,,,ledge,into bank,,,9,Oski & Friends: A Bit About Sharks,company,Nike SB,
11,3/18/22,1,Kader Sylla,kickflip,,,regular,1,1,,,,stairs,,,quadruple replay,10,KaderAdidas,solo,,
12,3/25/22,10,Hiroki Muraoka,bs nose bonk to nollie shuv,1,,regular,,,,,1,ledge,,,,1,BEAT,homie,,
12,3/25/22,9,Hugo Balek,casper stall,,,regular,1,1,,,1,bank,,,,2,,,,1
12,3/25/22,8,Ryan Lay,nollie to fs noseblunt,1,,nollie,,,,,,ledge, ,,5 trick line,3,D.R in Color,homie,,
12,3/25/22,7,Agata Halikowska,ollie,,,regular,,,1,,,flat,into bank,,woman,4,Grey Area,homie,,
12,3/25/22,6,Jordan Trahan,kickflip,,,regular,1,1,,,,gap,bump to gap,,,5,Upper Cruster,company,Chocolate x Herschel,
12,3/25/22,5,Rowan Davis,fakie 360 flip,,,fakie,1,1,,,,gap,bump to gap,,,6,Am Scramble 2021,company,Thrasher,
12,3/25/22,4,Sammy Baca,kickflip,,,regular,,,,,,gap,into bank,,,7,Shrimp Blunt,company,Shake Junt,
12,3/25/22,3,Jamie Foy,fakie kickflip to sw bs crook,1,,fakie,1,,,,,ledge,,,,8,Shrimp Blunt,company,Shake Junt,
12,3/25/22,2,Frankie Decker,no comply,,,regular,1,1,,,,gap,,,triple replay,9,Am Scramble 2021,company,Thrasher,
12,3/25/22,1,Ishod Wair,fs noseslide,,,regular,1,1,,,,ledge,,Bay Blocks,,10,Real Presents: Ishod,,,
13,4/1/22,10,Rob Maatman,bs lipslide to bs tailslide,1,,regular,,,,,1,ledge,,,so sick,1,Rob Maatman for Pop '22 Hardware,company,Pop 22 Hardware,
13,4/1/22,9,Shoma Takeda,bs nosegrind,1,,regular,,,,,1,ledge,,,,2,Man Who 3,homie,,
13,4/1/22,8,Brian O'Dwyer,fs heelflip,1,,regular,,,,,,gap,over can,Muni,,3,Some Pulp,company,OJ Wheels,
13,4/1/22,7,Marina Gabriela,hardflip,1,,regular,,,,,,stairs,,,woman,4,Al Carrer x Crupie,company,Al Carrer x Crupie,
13,4/1/22,6,Hart Pullman,kickflip,,,regular,,,,,1,gap,,,,5,Angel,homie,,
13,4/1/22,5,Ivan Glenney,fs tailslide to kickflip to fakie,,,regular,1,1,,,,ledge,bump to ledge,,,6,Angel,homie,,
13,4/1/22,4,Theo Dabadie,kickflip,1,,regular,,1,,,1,bank,escalator,,,7,,,,1
13,4/1/22,3,Robin DeWitt,nollie fs kickflip to sw fs 5-0,,,nollie,1,1,,,,ledge,,,,8,Form Follows Function,solo,,
13,4/1/22,2,Tiago Lemos,sw fs heelflip,1,1,switch,1,,,,,stairs,,,,9,Al Carrer x Crupie,company,Al Carrer x Crupie,
13,4/1/22,1,Bobby Worrest,sw bs noseblunt,,1,switch,1,1,,,,handrail,,,triple replay,10,Styx,solo,Krooked,
14,4/8/22,10,Kyler Garrison,fs 5050 to bs 360,,,regular,1,1,,,,ledge,outledge,,,1,kg.,solo,,
14,4/8/22,9,Dani Lebron,fakie hardflip to sw bs noseslide to regular,1,,fakie,,,,,,ledge,,ancient columns spot,,2,Titus,solo,,
14,4/8/22,8,Joey O'Brien,bs 180 to sw fs 5-0,1,,regular,,,,,,ledge,banked ledge,,,3,Mark Suciu S.O.T.Y. Trip,company,Thrasher,
14,4/8/22,7,Jace Detomasso,fakie heelflip,,,fakie,,,,,,gap,into bank to drop,,,4,DUPLEX 3,homie,,
14,4/8/22,6,Jake Sanso,sw fs kickflip,,1,switch,,1,,1,,stairs, ,tekashi 10,,5,DUPLEX 3,homie,,
14,4/8/22,5,Tom Knox,ride-on bs nosegrind,1,,regular,,,,,,ledge,curb,, ,6,Mark Suciu S.O.T.Y. Trip,company,Thrasher,
14,4/8/22,4,Theo Meas,hardflip to manual,1,,regular,,1,,,,pad,,,,7,Tuany,homie,,
14,4/8/22,3,Alan Bell,kickflip,,,regular,1,1,,,,gap,into bank,,two angles two fits,8,it's all good,homie,,
14,4/8/22,2,Leo Heinert,fs 5050,,,regular,,,,1,1,hubba,up hubba,NYC hubba to ledge,into stairs,9,PROdemic,solo,,
14,4/8/22,1,Eric Riedl,sw kickflip to sw bs tailslide,1,1,switch,,,,,,ledge,,,,10,Dime Remix,homie,,
15,4/15/22,10,Leo Banuelos,bs 180 revert to fakie manual to halfcab,,,regular,,,,,,pad,pad to bank,,,1,Ruining Skateboarding,company,There,
15,4/15/22,9,Jessyka Bailey,kickflip to fakie,,,regular,,,,,,bank,,,woman,2,Ruining Skateboarding,company,There,
15,4/15/22,8,Joseph Biais,fs lipslide to fakie,,,regular,,,,,,hubba,hubba to ledge,,,3,I Missed You,company,Rassvet,
15,4/15/22,7,Tolya Titaev,360 flip to fs 5050,,,regular,1,,1,,,curb,gap to curb,,,4,I Missed You,company,Rassvet,
15,4/15/22,6,Cambryan Sedlick,ride-on 5050,,,regular,,,,,,flat rail,bank to rail,,,5,I Missed You,company,Rassvet,
15,4/15/22,5,Patrick Cannon,kickflip,1,,regular,,,,,,stairs,,,,6,Money Time,homie,,
15,4/15/22,4,Robby Bootes,heelflip to bs lipslide,,,regular,1,1,,,,ledge,outledge,Union Square,,7,The Union Square Video,homie,,
15,4/15/22,3,Gabriel Bjorsvik,fs 180 to sw bs crook to normal,,,regular,,,,,,ledge,,,,8,Gabriel og Bjarne,homie,,
15,4/15/22,2,Justin Henry,kickflip to fs 5050,1,,regular,,,,1,,handrail,,Museum of Natural History,,9,airboat,company,Quasi,
15,4/15/22,1,Chris Athans,impossible,1,,regular,,,,,,gap,stairs,Union Square,7 trick line,10,The Union Square Video,homie,,
16,4/22/22,10,Efron Danzig,heelflip,1,,regular, , ,,1,,stairs,,,woman,1,THE VIOLET PROMO,company,Violet,
16,4/22/22,9,Enrique Lorenzo,fs noseblunt to nollie fs shuv to sw bs crook to fakie,,,regular,1,1,,, ,ledge,,Sants,,2,Terminal 002,company,eS,
16,4/22/22,8,Troy Gipson,fakie hardflip,1,,fakie,,,,,,stairs,,EMB,,3,THE VIOLET PROMO,company,Violet,
16,4/22/22,7,Christian Henry,wallride to bs crook to nollie shuv,,,regular,,,,,,ledge,bank to wall to ledge,,,4,Anniversary,company,Dickies,
16,4/22/22,6,Shag,fs shuv to bs 5050,,,regular,,,,,,ledge,,Mama's Roayl ledge,,5,Ruining Skateboarding,company,There,
16,4/22/22,5,Kris Brown,fakie kickflip,1,,fakie,,,,1,,gap,,Museum of Natural History,,6,THE VIOLET PROMO,company,Violet,
16,4/22/22,4,Auguste Bouznad,ride-on sw bs crook,,1,switch,,,,,1,ledge,escalator,,,7,THE VIOLET PROMO,company,Violet,
16,4/22/22,3,Bone Stallone,ollie,,,regular,1,1,,1,,gap,,Con-Ed Banks,triple replay,8,Slice N Dice Tour,homie,,
16,4/22/22,2,Ryan Lay,bs noseslide to nollie kickflip,,,regular,,,,,1,ledge,curved ledge,,around hydrant,9,Sci Fi Fantasy,solo,,
16,4/22/22,1,Heitor Da Silva,bs noseblunt to fakie,,,regular,,,,,,ledge,curved ledge,Paris curved ledge,,10,Vice Versa Love,solo,,
17,4/29/22,10,James Alby,slappy bs smith,,,regular,,1,,,,curb,,,2 clips,1,,,,1
17,4/29/22,9,Myles Willard,fakie shuv to fakie manual to sw bs lipslide,,,fakie,,,,,,pad,pad to ledge,,combo,2,Myles & The Machine,solo,,
17,4/29/22,8,Felipe Oliveira,shuv to fs noseslide to transfer fakie,1,,regular,,,,,1,ledge,,,,3,Rogue One,Company,ASCO X WORLDXIT'S,
17,4/29/22,7,Mike Anderson,fs 5050 to bs 5050,1,,regular,,1,,,,curb,curb to curb,,,4,Blackhole,solo,Spitfire,
17,4/29/22,6,Victor Hoglund,sw inward heelflip,,1,switch,1,1,,,,gap,over block,,,5,Expansion,company,Troposphere,
17,4/29/22,5,Aleksi Suovaara,bs kickflip to sw bs 5-0,,,regular,1,1,,,,ledge,bump to ledge,,,6,Expansion,company,Troposphere,
17,4/29/22,4,Tyler Nelson,heelflip to bs crook,,,regular,1,1,,1,,hubba, ,blubba,triple replay,7,,,,1
17,4/29/22,3,Tyson Peterson,bs 180 to sw bs 5-0 to sw bs 180,,,regular,1,,,,,handrail,,,,8,Baker Video With Tyson & T Funk,company,Baker,
