trick,year,cnt
FS Nosebluntslide,2009,3
FS Nosebluntslide,2010,1
FS Nosebluntslide,2012,1
FS Nosebluntslide,2013,2
FS Nosebluntslide,2014,1
FS Nosebluntslide,2014,3
FS Nosebluntslide,2014,1
FS Nosebluntslide,2015,2
FS Nosebluntslide,2016,0
FS Nosebluntslide,2016,5
FS Nosebluntslide,2017,4
FS Nosebluntslide,2018,2
FS Nosebluntslide,2019,7
FS Nosebluntslide,2020,1
FS Nosebluntslide,2020,3
FS Nosebluntslide,2021,2
FS Nosebluntslide,2023,1
FS nosegrind,2009,3
FS nosegrind,2010,3
FS nosegrind,2012,2
FS nosegrind,2013,5
FS nosegrind,2014,1
FS nosegrind,2014,1
FS nosegrind,2014,0
FS nosegrind,2015,3
FS nosegrind,2016,2
FS nosegrind,2016,5
FS nosegrind,2017,3
FS nosegrind,2018,2
FS nosegrind,2019,6
FS nosegrind,2020,4
FS nosegrind,2020,1
FS nosegrind,2021,1
FS nosegrind,2023,0
FS 5-0,2009,3
FS 5-0,2010,3
FS 5-0,2012,4
FS 5-0,2013,2
FS 5-0,2014,0
FS 5-0,2014,0
FS 5-0,2014,0
FS 5-0,2015,1
FS 5-0,2016,1
FS 5-0,2016,0
FS 5-0,2017,0
FS 5-0,2018,0
FS 5-0,2019,2
FS 5-0,2020,1
FS 5-0,2020,2
FS 5-0,2021,0
FS 5-0,2023,1
FS 5050,2009,5
FS 5050,2010,4
FS 5050,2012,4
FS 5050,2013,4
FS 5050,2014,1
FS 5050,2014,2
FS 5050,2014,0
FS 5050,2015,2
FS 5050,2016,0
FS 5050,2016,4
FS 5050,2017,4
FS 5050,2018,2
FS 5050,2019,4
FS 5050,2020,7
FS 5050,2020,3
FS 5050,2021,1
FS 5050,2023,6
Pole jam,2009,0
Pole jam,2010,0
Pole jam,2012,1
Pole jam,2013,0
Pole jam,2014,1
Pole jam,2014,1
Pole jam,2014,0
Pole jam,2015,4
Pole jam,2016,0
Pole jam,2016,2
Pole jam,2017,2
Pole jam,2018,1
Pole jam,2019,4
Pole jam,2020,2
Pole jam,2020,3
Pole jam,2021,2
Pole jam,2023,3
Smith grind,2009,5
Smith grind,2010,1
Smith grind,2012,1
Smith grind,2013,1
Smith grind,2014,1
Smith grind,2014,1
Smith grind,2014,1
Smith grind,2015,1
Smith grind,2016,0
Smith grind,2016,2
Smith grind,2017,3
Smith grind,2018,2
Smith grind,2019,2
Smith grind,2020,1
Smith grind,2020,0
Smith grind,2021,1
Smith grind,2023,0
Crooked grind,2009,3
Crooked grind,2010,1
Crooked grind,2012,2
Crooked grind,2013,1
Crooked grind,2014,0
Crooked grind,2014,1
Crooked grind,2014,1
Crooked grind,2015,1
Crooked grind,2016,0
Crooked grind,2016,3
Crooked grind,2017,0
Crooked grind,2018,0
Crooked grind,2019,5
Crooked grind,2020,2
Crooked grind,2020,2
Crooked grind,2021,3
Crooked grind,2023,2
Ollie,2009,12
Ollie,2010,5
Ollie,2012,11
Ollie,2013,7
Ollie,2014,6
Ollie,2014,4
Ollie,2014,1
Ollie,2015,12
Ollie,2016,4
Ollie,2016,12
Ollie,2017,6
Ollie,2018,3
Ollie,2019,16
Ollie,2020,4
Ollie,2020,10
Ollie,2021,4
Ollie,2023,10
FS Tailslide,2009,3
FS Tailslide,2010,4
FS Tailslide,2012,1
FS Tailslide,2013,3
FS Tailslide,2014,2
FS Tailslide,2014,0
FS Tailslide,2014,0
FS Tailslide,2015,1
FS Tailslide,2016,1
FS Tailslide,2016,0
FS Tailslide,2017,2
FS Tailslide,2018,2
FS Tailslide,2019,3
FS Tailslide,2020,0
FS Tailslide,2020,1
FS Tailslide,2021,0
FS Tailslide,2023,1
BS Tailslide,2009,4
BS Tailslide,2010,0
BS Tailslide,2012,0
BS Tailslide,2013,2
BS Tailslide,2014,0
BS Tailslide,2014,1
BS Tailslide,2014,0
BS Tailslide,2015,1
BS Tailslide,2016,0
BS Tailslide,2016,1
BS Tailslide,2017,1
BS Tailslide,2018,0
BS Tailslide,2019,0
BS Tailslide,2020,0
BS Tailslide,2020,1
BS Tailslide,2021,1
BS Tailslide,2023,0