Skater,Total Clip Count,Total Clip Length,Total Projects,Parts,Generosity % ,Video Views
Ace Pelka,131,16:10,7,3,23.8%,51858
Antonio Durao,33,3:53,2,1,19.3%,116981
Arin Lester,34,3:31,3,2,3.8%,85537
Brian Reid,77,7:19,6,2,44.4%,151573
Cody Chapman,128,18:19,8,3,20.6%,243316
Curren Caples,102,12:36,7,1,38.6%,407534
Cyrus Bennett,77,10:10,11,1,46.9%,420186
Dashawn Jordan,44,5:04,7,2,52.3%,112829
Dick Rizzo,125,13:14,12,4,21.9%,80898
Dylan Jaeb,70,9:16,7,1,51.1%,174383
Fabiana Delfino,77,10:02,6,3,9.0%,205715
Giovanni Vianna,79,11:05,5,3,12.5%,168619
Ishod Wair,85,10:48,11,2,27.5%,357207
Jack O'Grady,90,10:18,5,2,22.3%,118591
Jhancarlos Gonzalez,136,14:20,6,1,88.6%,16358
John Dilo,120,12:48,11,3,30.1%,102336
John Shanahan,127,14:21,6,3,2.6%,105312
Karim Callender,63,6:40,7,1,57.0%,116981
Kevin Bækkel,91,12:25,10,2,30.1%,103424
Leo Baker,37,4:31,3,1,14.0%,46787
Leo Romero,89,11:25,5,2,8.8%,298369
Max Palmer,104,11:25,11,2,54.9%,109998
Miles Silvas,45,8:52,5,1,23.5%,353218
Nelly Morville,38,4:03,8,1,53.9%,97387
Patrick Praman,68,7:59,5,2,23.0%,187268
Pedro Delfino,93,12:36,11,1,55.2%,257789
Rayssa Leal,5,0:34,1,0,100.0%,233259
Rob Pace,138,21:42,10,3,36.2%,177861
Rowan Davis,72,9:26,7,2,20.1%,179298
Rowan Zorilla,56,8:36,7,2,21.7%,188265
Ryan Sheckler,40,6:10,1,1,0.0%,1101192
Ryan Thompson,104,16:36,7,3,12.4%,66552
Ryuhei Kitazume,98,12:48,7,3,35.2%,118464
Simon Bannerot,131,15:39,6,2,30.7%,243316
Taylor Kirby,32,4:14,6,1,17.7%,143130
TJ Rogers,82,11:09,5,2,43.2%,96263
Tom Knox,103,17:57,8,4,25.4%,119111
Tony Hawk,36,3:03,1,1,0.0%,215306
Vitória Mendonça,31,3:28,3,1,26.9%,61387
Yuto Horigome,85,12:15,7,2,18.8%,2057024