,Tricks,Nollie,Regular,Switch,Fakie,Line,Cellar Door,Night,Manual
5ive Flavors,31,12.9,51.6,6.5,29.0,41.9,3.2,6.5,16.1
Infamous,38,15.8,47.4,15.8,21.1,47.4,2.6,5.3,21.1
La Luz,52,0.0,90.4,5.8,3.8,34.6,5.8,26.9,7.7
Moving In Traffic,55,3.6,81.8,7.3,7.3,27.3,29.1,27.3,3.6
Penal Code 100A,28,7.1,82.1,7.1,3.6,35.7,0.0,7.1,7.1
Static II,51,5.9,86.3,5.9,2.0,11.8,9.8,3.9,2.0
V5,46,2.2,91.3,4.3,2.2,23.9,56.5,6.5,4.3
Wheels of Fortune,22,13.6,36.4,18.2,31.8,31.8,0.0,0.0,22.7
,,,,,,,,,
All Parts,323,7.9,70.7,9.0,12.4,28.6,14.1,10.1,10.7