skater,year,cnt
Tyshawn Jones,2020,25
Tyshawn Jones,2021,56
Tyshawn Jones,2022,67
Louie Lopez,2020,20
Louie Lopez,2021,25
Louie Lopez,2022,44
Will Marshall,2020,24
Will Marshall,2021,4
Will Marshall,2022,25
Chris Athans,2020,3
Chris Athans,2021,24
Chris Athans,2022,26
Carl Aikens,2020,23
Carl Aikens,2021,18
Carl Aikens,2022,17
Max Palmer,2020,12
Max Palmer,2021,17
Max Palmer,2022,2
Victor Campillo,2020,5
Victor Campillo,2021,27
Victor Campillo,2022,26
Cyrus Bennett,2020,29
Cyrus Bennett,2021,16
Cyrus Bennett,2022,27
Mason Silva,2020,55
Mason Silva,2021,8
Mason Silva,2022,9
Tiago Lemos,2020,35
Tiago Lemos,2021,4
Tiago Lemos,2022,19
Antonio Durao,2020,26
Antonio Durao,2021,29
Antonio Durao,2022,15
Nik Stain,2020,29
Nik Stain,2021,13
Nik Stain,2022,12
Lucas Puig,2020,42
Lucas Puig,2021,8
Lucas Puig,2022,8
Mark Suciu,2020,14
Mark Suciu,2021,30
Mark Suciu,2022,9
Kader Sylla,2020,2
Kader Sylla,2021,11
Kader Sylla,2022,19
Tom Knox,2020,38
Tom Knox,2021,17
Tom Knox,2022,6
Leo Baker,2020,5
Leo Baker,2021,0
Leo Baker,2022,8
Pedro Delfino,2020,29
Pedro Delfino,2021,9
Pedro Delfino,2022,10
Gustav Tonnesen,2020,11
Gustav Tonnesen,2021,0
Gustav Tonnesen,2022,25
Alexis Lacroix,2020,21
Alexis Lacroix,2021,8
Alexis Lacroix,2022,17