obs20,obs21,obs22,det20,det21,det22,allyears,alldets
,gap,gap,bench,bump to bar,,ledge,bench
ledge,pad,ledge,,,,ledge,
hubba,gap,curb,,flat gap,curved ledge,hubba,
ledge,ledge,gap,,ledge to drop,gap to pad to gap,gap,
ledge,ledge,ledge,,,bench,ledge,
stairs,hubba,flat rail,,up hubba,rail to rail,stairs,
ledge,stairs,ledge,ledge to gap,,ledge to rail,ledge,ledge to gap
ledge,gap,wall,,over rail,into bank,ledge,
gap,handrail,ledge,,,out ledge,gap,
gap,flat rail,stairs,bank to bank,curved rail,stairs to disaster,gap,bank to bank
curb,wall,pad,,wallride down stairs,pad to chain,curb,
pole,gap,pad,basketball hoop pole,over trash can,,pole,basketball hoop pole
stairs,pad,ledge,up stairs,,barrier,stairs,up stairs
ledge,hubba,flat rail,ledge gap ledge,,,ledge,ledge gap ledge
ledge,ledge,ledge,up ledge,gap to ledge into bank,ledge to ledge,ledge,up ledge
ledge,stairs,stairs,,,,ledge,
ledge,ledge,pole jam,,curved bench,pole jam flat pole jam,ledge,
ledge,wall,ledge,,,into bank,ledge,
ledge,ledge,gap,out ledge,,flat gap,ledge,out ledge
ledge,gap,ledge,out ledge,big drop,gap to ledge,ledge,out ledge
stairs,stairs,ledge,,,bank to ledge,stairs,
handrail,curb,pad,knobbed rail,,ledge to pad,handrail,knobbed rail
pad,flat,handrail,manual drop manual,into bank,up rail to gap,pad,manual drop manual
pad,flat,transition,up stairs,,street transition,pad,up stairs
stairs,flat rail,hubba,,pole to flat rail to into bank,,stairs,
handrail,pad,handrail,cannon,,,handrail,cannon
ledge,pad,ledge,,,out ledge,ledge,
handrail,ledge,stairs,,out ledge,,handrail,
transition,ledge,ledge,quarterpipe,ledge to flat rail,,transition,quarterpipe
ledge,ledge,ledge,gap to ledge,,ledge to gap,ledge,gap to ledge
curb,wall,flat rail,,,keyhole,curb,
hubba,ledge,flat rail,,ledge to ledge,into bank,hubba,
ledge,ledge,handrail,ledge to ledge,,into bank,ledge,ledge to ledge
ledge,transition,transition,,concrete park,on chains,ledge,
gap,ledge,ledge,over rail,out ledge,out ledge,gap,over rail
ledge,ledge,pad,ride on,out ledge,pad to ledge to pad,ledge,ride on
flat rail,stairs,ledge,,,,flat rail,
pad,pad,handrail,,,,pad,
gap,ledge,ledge,flat gap,,,gap,flat gap
ledge,gap,ledge,ledge to ledge,launch ramp,into bank,ledge,ledge to ledge
gap,ledge,curb,,,bump to curb,gap,
transition,ledge,flat rail,quarterpipe,out ledge,out rail,transition,quarterpipe
ledge,flat,flat,gap to ledge,into bank,over can,ledge,gap to ledge
hubba,stairs,curb,,,gap to curb,hubba,
hubba,gap,gap,,over rail into bank,into bank,hubba,
ledge to ledge,ledge,hubba,gap to gap to ledge,ledge to ledge,curved hubba,ledge,gap to gap to ledge
stairs,bank,bank,,Drop in,bank to bank to bank,stairs,
gap to ledge,handrail,handrail,,,,ledge,
flat,ledge,handrail,,,,flat,
flat rail,ledge,gap,into bank,out ledge,flat gap,flat rail,into bank
ledge,ledge,ledge,,,,ledge,
wall,ledge,flat,,,over ledge,wall,
gap,ledge,handrail,,,,gap,
gap,gap,pad,over rail,flat gap,,gap,over rail
handrail,gap,ledge,,over rail into bank,wall to ledge,handrail,
ledge,gap,pad,,over rail into bank,flat,ledge,
gap,flat rail,handrail,over hydrant,,,gap,over hydrant
ledge,ledge,ledge,,,out ledge,ledge,hubba
stairs,flat rail,pad,up stairs,,into bank,stairs,up stairs
curb,gap,pad,,over rail into bank,,curb,
stairs,gap,stairs,,over bench,sign on stairs,stairs,
ledge,ledge,ledge,wall to ledge,,,ledge,wall to ledge
curb,ledge,ledge,,,out ledge,curb,
pad,stairs,ledge,,,,pad,
gap,gap,pad,roof,flat gap,,gap,roof
stairs,ledge,stairs,up stairs,curved ledge,,stairs,up stairs
gap,gap,flat rail,over rail,wallie to gap,bump to bar,gap,over rail
stairs,stairs,handrail,,,handrail to ledge,stairs,
hubba,wall,ledge,,wallie to gap,table,hubba,
flat rail,bank,stairs,rail to gap,into bank,,flat rail,rail to gap
flat,curb,ledge,curb cut,gap to curb,benches,flat,curb cut
flat,transition,ledge,over bench,pool,,flat,over bench
pad,gap,ledge,,,ledge to wall,pad,
ledge,gap,ledge,,over wall,,ledge,
flat,transition,flat rail,over rail,street quarter,,flat,over rail
bank,stairs,gap,over rail,stairs to pad to wall,over rail,bank,over rail
handrail,curb,ledge,,,out ledge,handrail,
gap,pad,handrail,up gap,,,gap,up gap
ledge,ledge,gap,gap to ledge,ledge to pad,,ledge,gap to ledge
gap,ledge,ledge,bump to bar,,into bank,gap,bump to bar
gap,ledge,flat rail,hip,gap to ledge,,gap,hip
bank,ledge,stairs,,,,bank,
gap,pad,curb,hip,pad to gap to bank,over fence,gap,
gap,ledge,gap,,ledge to wall,,gap,
pad,ledge,ledge,,out ledge,out ledge,pad,
flat rail,flat,hubba,gap to rail,onto ledge,,flat rail,gap to rail
gap,hubba,ledge,flat gap,ledge to gap,bump to dumpster,gap,flat gap
flat rail,stairs,flat rail,,over chain,bank to rail,flat rail,flat rail
gap,gap,gap,,onto loading dock,,gap,
transition,ledge,transition,quarterpipe,,street transition,transition,quarterpipe
handrail,gap,ledge,rail to curb,curb cut,,handrail,rail to curb
ledge,ledge,ledge,banked ledge,,,ledge,banked ledge
gap,wall,ledge,,transition to wall,,gap,
ledge,flat,flat rail,bank to ledge,,bench,ledge,bank to ledge
transition,stairs,ledge,quarterpipe,,,transition,quarterpipe
stairs,ledge,ledge,,out ledge,triple drop,stairs,
ledge,handrail,ledge,,,bump to ledge,ledge,
flat rail,ledge,wall,,out ledge,,flat rail,flat rail
ledge,ledge,gap,out ledge,out ledge,,ledge,out ledge
gap,gap,flat rail,over rail,big drop,gap to rail,gap,over rail
curb,ledge,pad,,on hydrant,pad to ledge,curb,
ledge,flat,curb,,over barrier,gap to curb,ledge,
ledge,ledge,ledge,pad to ledge,,curved ledge,ledge,pad to ledge
wall,ledge,flat rail,,curved ledge,into bank,wall,
stairs,gap,ledge,up stairs,,into bank,stairs,up stairs
flat rail,gap,stairs,,,,flat rail,
ledge,flat,ledge,ledge to gap,,to pad to ledge,ledge,ledge to gap
ledge,pad,ledge,,pad to pad,hubba,ledge,
handrail,gap,ledge,,big drop,into bank,handrail,
ledge,stairs,stairs,ledge to wall to ledge,up stairs,,ledge,ledge to wall to ledge
ledge,flat,ledge,,,,ledge,
curb,ledge,bank,,gap to ledge,,curb,
hubba,ledge,ledge,,ledge to bank,,hubba,
wall,ledge,flat,bank to wall,,into bank,wall,bank to wall
handrail,pad,gap,,,bump to gap,handrail,
ledge,hubba,gap,,,bump to gap,ledge,
gap,stairs,gap,gap to bank,up stairs,into bank,gap,gap to bank
ledge,ledge,ledge,,,,ledge,
pad,handrail,gap,,handrail to handrail,,pad,
flat,gap,ledge,,launch ramp,,flat,
pad,pad,ledge,,,,pad,
wall,gap,ledge,,hip,,wall,
bank,flat,gap,,,over can,bank,
stairs,ledge,stairs,up stairs,,,stairs,up stairs
ledge,ledge,gap,,curved ledge,,ledge,
ledge,pad,ledge,ledge to gap,pad to stairs,bump to ledge,ledge,ledge to gap
handrail,flat rail,bank,,,escalator,handrail,
flat,transition,ledge,,street quarter,,flat,
hubba,gap,stairs,,into bank,,hubba,
transition,stairs,handrail,pool,up stairs,,transition,pool
pad,ledge,ledge,,gap to ledge,out ledge,pad,
flat,gap,ledge,into bank,bump to bar,,flat,into bank
gap,hubba,ledge,,,banked ledge,gap,
gap,ledge,gap,bump to bar,,into bank to drop,gap,bump to bar
handrail,stairs,stairs,,up stairs, ,handrail,
bank,gap,ledge,over rail into bank,,curb,bank,over rail into bank
ledge,ledge,pad,,,,ledge,
ledge,wall,gap,,,into bank,ledge,
wall,ledge,hubba,down stairs,gap to ledge into bank,up hubba,wall,down stairs
ledge,flat,ledge,,over trash can,,ledge,
ledge,ledge,pad,,,pad to bank,ledge,
ledge,stairs,bank,ledge to ledge,,,ledge,ledge to ledge
ledge,curb,hubba,,,hubba to ledge,ledge,
gap,gap,curb,over rail,over rail,gap to curb,gap,over rail
stairs,flat rail,flat rail,,into bank,bank to rail,stairs,
ledge,ledge,stairs,,banked ledge,,ledge,
gap,ledge,ledge,roof,ledge to wall,out ledge,gap,roof
gap,ledge,ledge,,gap to hubba,,gap,
stairs,stairs,handrail,up stairs,up stairs,,stairs,up stairs
hubba,flat rail,gap,,curved rail,stairs,hubba,
ledge,ledge,stairs,out ledge,curved ledge,,ledge,out ledge
ledge,stairs,ledge,,,,ledge,
transition,ledge,stairs,bowl,curb to ledge,,transition,bowl
gap,wall,ledge,gap to curb,gap to wall,bank to wall to ledge,gap,gap to curb
handrail,ledge,ledge,,gap to ledge,,handrail,
handrail,ledge,gap,,,,handrail,
gap,gap,ledge,into bank,,escalator,gap,into bank
ledge,wall,gap,gap to ledge,bank to wall,,ledge,gap to ledge
gap,ledge,ledge,over fence,wall to ledge,curved ledge,gap,over fence
pad,ledge,ledge,,,curved ledge,pad,
handrail,ledge,curb,,wall to banked ledge,,handrail,
ledge,transition,pad,out ledge,fly out,pad to ledge,ledge,out ledge
ledge,gap,ledge,gap to ledge,into bank,,ledge,gap to ledge
ledge,bank,curb,ledge to gap,flat bank to curb,curb to curb,ledge,ledge to gap
gap,stairs,gap,over rail,,over block,gap,over rail
gap,ledge,ledge,,launch to ledge,bump to ledge,gap,
pad,wall,hubba,,wall to gap,,pad,
gap,ledge,handrail,gap to bank,,,gap,gap to bank
flat rail,pad,handrail,rail to gap,pad to bank,double kink,flat rail,rail to gap
gap,stairs,gap,flat gap,,bank,gap,flat gap
gap,gap,curb,,,,gap,
ledge,ledge,ledge,,,,ledge,
ledge,flat,pad,ledge to wall,,pad to drop,ledge,ledge to wall
ledge,handrail,flat rail,,rail to gap,,ledge,
wall,handrail,ledge,down stairs,handrail to ledge,out ledge,wall,down stairs
stairs,wall,gap,,on tree,flat gap,stairs,
gap,ledge,gap,over rail into bank,,,gap,over rail into bank
gap,gap,flat rail,over rail,,out rail,gap,over rail
flat rail,gap,hubba,,flat gap,,flat rail,
ledge,ledge,stairs,,,,ledge,
transition,ledge,transition,street transition,,street transition,transition,street transition
wall,ledge,ledge,,,ledge to drop,wall,
handrail,pad,ledge,,,banked ledge,handrail,
pad,gap,gap,,,over can,pad,
wall,gap,bank,bank to wall,over rail,,wall,bank to wall
gap,ledge,ledge,,ledge to gap,,gap,
ledge,handrail,ledge,,,,ledge,
gap,flat,curb,over rail into bank,ledge to gap,gap to curb,gap,over rail into bank
gap,hubba,gap,over rail into bank,up hubba,over pad,gap,over rail into bank
flat rail,gap,flat,rail to curb,,over can,flat rail,rail to curb
pad,curb,stairs,,,,pad,
curb,gap,ledge,,,curved ledge,curb,
flat,flat,pad,,into bank,playground ,flat,
transition,ledge,gap,,gap to ledge,bump to gap,transition,
pole,ledge,ledge,bank to pole,,drop,pole,bank to pole
gap,handrail,gap,over rail,,duck under pole,gap,over rail
ledge,handrail,ledge,,handrail to ledge,,ledge,
gap,stairs,pad,bump to bar,over rail,,gap,bump to over bar
ledge,stairs,gap,,,flat gap,ledge,
ledge,transition,ledge,out ledge,concrete park,out ledge,ledge,out ledge
wall,ledge,ledge,,,,wall,
handrail,ledge,wall,,,,handrail,
gap,flat,flat rail,over rail,into bank,,gap,over rail
ledge,stairs,ledge,ledge to ledge,over rail,bank to ledge,ledge,ledge to ledge
transition,stairs,ledge,bowl,,ledge to gap,transition,bowl
wall,ledge,ledge,wall to bank,,ledge to gap,wall,wall to bank
gap,gap,bank,over bench,off egg,channel,gap,over bench
gap,hubba,ledge,,wall to hubba,,gap,
flat,stairs,stairs,over trash can,over rail,,flat,over trash can
ledge,ledge,handrail,ledge to ledge,,,ledge,ledge to ledge
gap,pad,gap,flat gap,,over rail,gap,flat gap
gap,ledge,ledge,flat gap,,,gap,flat gap
ledge,flat,flat rail,,over bench,,ledge,
ledge,handrail,gap,,curved rail,over can,ledge,
hubba,gap,gap,,,to drop to drop to drop,hubba,
bank,handrail,ledge,into bank,curved rail,gap to ledge,bank,into bank
flat,gap,gap,over trash can,bump to bar,over rail into bank,flat,over trash can
gap,wall,handrail,flat gap,,wall to handrail,gap,flat gap
flat,gap,stairs,,,,flat,
ledge,flat,handrail,gap to ledge,bump to bar,,ledge,gap to ledge
ledge,flat rail,gap,,into bank,escalator,ledge,
ledge,curb,hubba,,gap to curb,kinked hubba,ledge,
handrail,flat,gap,,into bank,over rail,handrail,
ledge,gap,pad,,,into bank,ledge,
gap,flat rail,flat rail,over rail,,pole to gap to rail,gap,over rail
gap,flat,wall,flat gap,,wall to stairs,gap,flat gap
gap,flat rail,stairs,,wall to gap to rail to bank,,gap,
hubba,stairs,stairs,,over rail,over rail,hubba,
ledge,gap,ledge,,over barrier,curved ledge,ledge,
gap,ledge,ledge,,,gap to ledge to gap,gap,
ledge,stairs,ledge,,,,ledge,
hubba,stairs,ledge,,,,hubba,
gap,ledge,flat rail,over fence,banked ledge,pipes,gap,over fence
ledge,flat rail,curb,ledge to gap,bank to rail,,ledge,ledge to gap
gap,flat rail,ledge,over rail,,over bike,gap,over rail
stairs,wall,transition,,,street transition,stairs,
flat,flat rail,curb,over hydrant,into bank,,flat,over hydrant
gap,gap,curb,into bank,over rail,drop to curb,gap,into bank
pad,gap,handrail,into bank,over car hood,handrail to hubba,pad,into bank
pad,ledge,pad,,gap to ledge,chain to pad,pad,
gap,ledge,curb,flat gap,,,gap,flat gap
ledge,ledge,ledge,,,,ledge,
stairs,gap,wall,,hip,,stairs,
stairs,pad,stairs,,gap to pad,,stairs,
flat rail,ledge,curb,,rail to ledge,gap to curb to gap,flat rail,
pad,bank,gap,,into bank,flat gap to bank,pad,
ledge,ledge,ledge,ledge to wall to ledge,,curved ledge,ledge,ledge to wall to ledge
ledge,stairs,ledge,gap to ledge,,,ledge,gap to ledge
pad,gap,gap,gap to pad,,flat gap,pad,gap to pad
handrail,stairs,stairs,,,,handrail,
stairs,ledge,ledge,,,gap to ledge,stairs,
stairs,flat,stairs,gap and stairs,,,stairs,gap and stairs
transition,ledge,ledge,,,out ledge,transition,
hubba,hubba,transition,,,hip,hubba,
handrail,ledge,gap,,ledge to pad to gap,bump to bar,handrail,
flat rail,wall,ledge,,wall to gap,out ledge,flat rail,
ledge,handrail,ledge,,,,ledge,
ledge,handrail,ledge,,,,ledge,
gap,handrail,pad,gap to bank,flat rail to handrail,,gap,gap to bank
ledge,ledge,gap,,,over wall,ledge,
flat,transition,stairs,into bank,miniramp,,flat,into bank
transition,ledge,ledge,quarterpipe,ledge to curb,out ledge,transition,quarterpipe
gap,ledge,ledge,,ledge to drop,,gap,hip
ledge,gap,stairs,banked ledge,bump to bar,,ledge,banked ledge
gap,handrail,pad,,,,gap,
gap,ledge,stairs,over rail into bank,,,gap,over rail into bank
stairs,hubba,stairs,,,,stairs,
ledge,handrail,wall,,,gap to wall,ledge,
ledge,ledge,ledge,,,,ledge,
handrail,ledge,ledge,,,,handrail,
ledge,ledge,gap,,sphere,over rail,ledge,
pad,pad,transition,,,,pad,
gap,gap,gap,over trash can,kicker to kicker,over can,gap,over trash can
ledge,gap,stairs,,,,ledge,
flat rail,ledge,hubba,,banked ledge,hubba to ledge,flat rail,
gap,stairs,ledge,over rail,,out ledge,gap,over rail
gap,pad,wall,over wall,pad to ledge,wall to bank,gap,over wall
hubba,ledge,flat rail,,,into bank,hubba,
ledge,hubba,hubba,bank to ledge,,,ledge,bank to ledge
ledge,hubba,ledge,ledge to ledge,,ledge to rail to handrail,ledge,ledge to ledge
ledge,curb,pad,,,pad to handrail,ledge,
gap,ledge,gap,over rail,,,gap,over rail
wall,gap,ledge,,over rail into bank,out ledge,wall,
wall,pad,pad,bank to wall,,pad to wall to pad,wall,bank to wall
wall,pad,ledge,bank to wall,,bump to can,wall,bank to wall
transition,ledge,gap,street transition,ledge to pad,into bank,transition,street transition
pad,ledge,ledge,into bank,,,pad,into bank
ledge,handrail,ledge,,,,ledge,
handrail,ledge,stairs,,ledge to gap, ,handrail,
stairs,handrail,ledge,up stairs,,,stairs,up stairs
ledge,flat,wall,,,,ledge,
pad,wall,flat rail,,wall to gap,drop to rail,pad,
pad,pad,ledge,,,,pad,
stairs,ledge,gap,,curved ledge,into bank,stairs,
transition,ledge,stairs,quarterpipe,,,transition,quarterpipe
stairs,gap,ledge,,launch,gap to ledge,stairs,
hubba,pad,ledge,,pad to flat,ledge to gap,hubba,
