obs20,obs21,obs22,det20,det21,det22,allyears,alldets
ledge,gap,wall,ledge to gap,bump to bar,on mailbox,ledge,ledge to gap
gap,ledge,gap,over barrier,out ledge,over trash can,gap,over barrier
ledge,handrail,flat rail,,into bank,rail to stump to rail,ledge,
flat,ledge,ledge,,out ledge,ledge to stairs,flat,
ledge,ledge,ledge,,out ledge,,ledge,
bank,flat rail,flat rail,,ride on,glass barrier to drop,bank,
ledge,gap,stairs,,gap,,ledge,
hubba,flat,stairs,,flat gap,,hubba,
gap,flat,handrail,over rail into bank,over bench,,gap,over rail into bank
gap,stairs,flat,over trash can,,into bank,gap,over trash can
gap,flat rail,flat rail,gap to pad,street pole,into bank,gap,gap to pad
gap,handrail,flat rail,over barrier,,into bank,gap,over barrier
hubba,hubba,gap,,,bump to bar,hubba,
gap,transition,transition,flat gap,street quarter,street transition,gap,flat gap
ledge,ledge,gap,banked ledge,,,ledge,banked ledge
gap,ledge,stairs,gap to bank,,,gap,gap to bank
curb,gap,gap,,over pad,flat gap,curb,
ledge,wall,ledge,,,ledge to gap,ledge,
ledge,pad,ledge,,pad to stairs,ledge to gap,ledge,
ledge,stairs,gap,,,over can,ledge,
ledge,stairs,ledge,,,,ledge,
gap,wall,ledge,over rail,down stairs,curved ledge,gap,over rail
flat,pad,bank,into bank,,over hip and rail,flat,into bank
ledge,bank,wall,,,,ledge,
ledge,ledge,flat,,flat to ledge,bump to bar,ledge,
handrail,gap,ledge,,over rail,,handrail,
transition,gap,flat,bowl,over bin,,transition,bowl
transition,gap,gap,quarterpipe,over pad,into bank,transition,quarterpipe
handrail,ledge,gap,,curved ledge,bump to bar,handrail,
ledge,transition,handrail,,bowl,into bank,ledge,
handrail,ledge,ledge,,out ledge,bank to ledge,handrail,
ledge,ledge,hubba,over trash can,,to handrail,ledge,over trash can
pad,hubba,wall,pad to stairs,,,pad,pad to stairs
flat rail,gap,ledge,rail to gap,kicker,out ledge,flat rail,rail to gap
transition,ledge,stairs,quarterpipe,gap in gap out,into hill,transition,quarterpipe
pad,ledge,transition,,curved ledge,quarterpipe,pad,
wall,handrail,gap,,,,wall,
ledge,ledge,pad,ledge to gap,,to wall,ledge,ledge to gap
ledge,hubba,wall,wall to ledge to wall,,wall to gap,ledge,wall to ledge to wall
hubba,handrail,gap,,,bump to bar,hubba,
stairs,gap,handrail,,over rail,,stairs,
ledge,flat rail,gap,ledge to ledge,,flat gap,ledge,ledge to ledge
hubba,gap,wall,,,,hubba,
gap,pad,ledge,,,out ledge,gap,
ledge,gap,transition,,,concrete skatepark,ledge,
pad,transition,ledge,,,,pad,
gap,ledge,ledge,over barrier,banked ledge,,gap,over barrier
gap,stairs,stairs,over trash can,,,gap,over trash can
pad,hubba,ledge,,,,pad,
hubba,wall,ledge,,bank to wall,to wall,hubba,
stairs,hubba,handrail,,,,stairs,
transition,flat,gap,street transition,flat gap,into bank,transition,street transition
ledge,transition,gap,out ledge,,bump to can,ledge,out ledge
wall,ledge,stairs,,,,wall,
transition,pad,ledge,street transition,,to ledge,transition,street transition
gap,ledge,ledge,over bench,,,gap,over bench
gap,gap,gap,over wall,over trash can,into bank,gap,over wall
gap,gap,flat rail,over barrier,, ,gap,over barrier
stairs,ledge,stairs,up stairs,,double set,stairs,up stairs
ledge,pad,flat rail,,pad to gap,up and down,ledge,
flat rail,flat,ledge,,,out ledge,flat rail,
ledge,ledge,gap,,bank to ledge,flat gap,ledge,
ledge,ledge,gap,gap to ledge,,bump to bar,ledge,gap to ledge
wall,hubba,handrail,,hubba to pad to stairs,quad kink,wall,
pad,ledge,stairs,,ledge to gap,double set,pad,
wall,gap,pad,down stairs,over barrier,to stairs,wall,down stairs
curb,flat,pad,,over bench,to wall,curb,
flat rail,wall,hubba,,wall to curb to bank,to can,flat rail,
gap,ledge,ledge,over rail,,,gap,over rail
hubba,wall,hubba,,wall gap wall,,hubba,
flat rail,ledge,ledge,,ledge into bank,,flat rail,
gap,ledge,gap,over rail into bank,,channel,gap,over rail into bank
gap,hubba,handrail,over barrier,,around corner,gap,over barrier
ledge,pad,wall,bench,pad to drop,to stairs,ledge,bench
stairs,flat rail,ledge,,curved rail,,stairs,
flat,ledge,ledge,into bank,bank to ledge,,flat,into bank
ledge,wall,ledge,,,,ledge,
ledge,hubba,pad,,,pad to flat gap,ledge,
stairs,ledge,gap,up stairs,,concrete skatepark,stairs,up stairs
gap,ledge,wall,into bank,,,gap,into bank
flat,ledge,gap,into bank,out ledge,into pole jam,flat,into bank
hubba,hubba,flat rail,,,into hill,hubba,
handrail,hubba,flat rail,,wavy hubba,into hill,handrail,
gap,ledge,ledge,,curved ledge,,gap,
flat rail,ledge,stairs,gap to rail,,,flat rail,gap to rail
pad,wall,pad,,,,pad,
ledge,ledge,gap,,ledge to gap,,ledge,
pad,gap,flat rail,,,curved rail,pad,
transition,ledge,ledge,street transition,out ledge,,transition,street transition
hubba,flat,gap,,,over table,hubba,
stairs,ledge,gap,,out ledge,bump to bar,stairs,
ledge,gap,pad,,,,ledge,
wall,ledge,pad,wall to rail,,into bank,wall,wall to rail
handrail,ledge,gap,,,,handrail,
ledge,flat,flat,bank to ledge to bank,into bank,into bank,ledge,bank to ledge to bank
flat rail,pad,wall,,,to ledge,flat rail,
pad,ledge,handrail,,,,pad,
gap,handrail,pad,,,concrete skatepark,gap,
ledge,ledge,pad,,,,ledge,
pad,ledge,wall,over rail,out ledge,to ledge,pad,over rail
curb,gap,handrail,gap to curb,into bank,handrail to hubba,curb,gap to curb
flat rail,ledge,stairs,,out ledge,,flat rail,
gap,ledge,gap,curb cut,curved up ledge,onto ball,gap,curb cut
ledge,flat,flat rail,,into bank,into bank,ledge,
gap,hubba,pad,over trash can,,,gap,over trash can
ledge,gap,hubba,ledge to gap,channel,,ledge,ledge to gap
transition,gap,ledge,street transition,into bank,ledge to ledge,transition,street transition
ledge,ledge,ledge,,curved ledge,ledge to pad to stairs,ledge,
flat,gap,gap,into bank,over ledge,flat gap,flat,into bank
gap,ledge,pole jam,over barrier,out ledge,,gap,over barrier
stairs,stairs,ledge,,,,stairs,
ledge,flat rail,flat rail,ledge to gap,rail to gap,,ledge,ledge to gap
gap,stairs,gap,gap to wall,over rail,bump to bar to ledge,gap,gap to wall
ledge,gap,curb,ledge to gap,bump to bump,,ledge,ledge to gap
curb,ledge,transition,,bump to ledge,street transition,curb,
hubba,pad,transition,,,street transition,hubba,
gap,gap,ledge,,,to stairs,gap,
ledge,gap,ledge,,into fountain,,ledge,
handrail,ledge,pad,,ledge to ledge,gap to pad,handrail,
gap,gap,ledge,over rail,huge gap,curved ledge,gap,over rail
ledge,ledge,gap,ledge to gap,,over rail into bank,ledge,ledge to gap
stairs,flat rail,flat rail,up stairs,curved rail,curved rail,stairs,up stairs
stairs,flat,gap,,over trash can,over rail into double bank,stairs,
ledge,pad,ledge,ledge to rail,bump to pad,,ledge,ledge to rail
stairs,ledge,ledge,,banked ledge,,stairs,
flat rail,flat,gap,into bank,over rail,,flat rail,into bank
ledge,ledge,ledge,,ledge to bank,,ledge,
transition,hubba,ledge,bowl,curved hubba,,transition,bowl
flat rail,ledge,gap,rail to rail,,over hydrant,flat rail,rail to gap
curb,ledge,gap,gap to curb,ledge to hubba,into bank,curb,gap to curb
gap,pad,gap,over rail,,bump to gap,gap,over rail
stairs,ledge,ledge,,bank to ledge,out ledge,stairs,
gap,stairs,gap,gap to curb,,up gap,gap,gap to curb
gap,stairs,pad,,,,gap,
flat,flat rail,flat,rock,middle rail,,flat,rock
wall,ledge,ledge,down stairs,,gap to ledge to ledge,wall,down stairs
stairs,ledge,hubba,,,,stairs,
pad,gap,stairs,upwards pad,bump to gap,,pad,upwards pad
handrail,pad,gap,,,,handrail,
ledge,flat rail,ledge,ledge to gap,bench to rail to bench,,ledge,ledge to gap
gap,flat rail,ledge,over rail into bank,,into bank,gap,over rail into bank
stairs,stairs,flat,up stairs,,over block,stairs,up stairs
stairs,flat,gap,,over hydrant,over wall,stairs,
wall,pad,transition,bank to wall,pad to ledge,miniramp,wall,bank to wall
stairs,pad,gap,,pad to stairs,bump to gap,stairs,
gap,ledge,ledge,,,,gap,
pole,wall,pad,,gap to wall,pad to pad,pole,
stairs,gap,gap,,flat gap,into hill,stairs,
wall,hubba,ledge,,,into bank,wall,
hubba,flat,flat rail,,over like 20 boards,up rail,hubba,
pad,stairs,ledge,,over gate,,pad,
flat rail,stairs,flat rail,,up stairs,bump to rail,flat rail,
gap,handrail,wall,gap to curb,,bank to wall,gap,gap to curb
wall,ledge,flat rail,,bank to ledge,tram tracks,wall,
flat,ledge,ledge,flat to wall,,curved ledge,flat,flat to wall
flat rail,ledge,pad,,up ledge,into bank,flat rail,
gap,ledge,pad,over rail,into bank,,gap,over rail
gap,ledge,stairs,into bank,gap to ledge,,gap,into bank
pad,ledge,ledge,,,,pad,
handrail,ledge,ledge,,,into bank,handrail,
flat rail,gap,stairs,rail to gap,into bank,,flat rail,rail to gap
flat rail,ledge,transition,rail to rail,,concrete skatepark,flat rail,rail to rail
gap,gap,flat,,,into bank,gap,
gap,ledge,ledge,thread the needle,,out ledge,gap,Thread the needle
ledge,gap,gap,,,,ledge,
gap,flat rail,wall,over rail,uprail,kicker to wall,gap,over rail
transition,ledge,ledge,street transition,,,transition,street transition
gap,gap,flat rail,flat gap,bump to car,rail to gap,gap,flat gap
stairs,flat rail,ledge,,rail into bank,up ledge,stairs,
ledge,ledge,gap,out ledge,into halfpipe,rooftop,ledge,out ledge
curb,ledge,stairs,,,,curb,
gap,gap,pad,over barrier,over rail into bank,pad to hubba,gap,over barrier
handrail,flat,gap,,,over picnic table,handrail,
ledge,ledge,wall,,,,ledge,
curb,ledge,ledge,gap to curb,ledge to ledge,into bank,curb,gap to curb
ledge,curb,stairs,,gap to curb,,ledge,
ledge,gap,ledge,,over rail into bank,into bank,ledge,
gap,ledge,ledge,over barrier,out ledge,,gap,over barrier
gap,gap,flat rail,over barrier,bump to gap,rail to rail,gap,over barrier
flat rail,wall,ledge,ledge to rail,quarter to wall,,flat rail,ledge to rail
gap,gap,ledge,,flat gap,into bank,gap,
pad,pad,hubba,pad to stairs,,,pad,pad to stairs
hubba,handrail,ledge,,,out ledge,hubba,
gap,gap,curb,flat gap,bump to gap,around corner,gap,flat gap
pad,stairs,ledge,,,,pad,
stairs,ledge,handrail,,ledge to ledge,,stairs,
handrail,gap,stairs,,,,handrail,
gap,pad,handrail,hip,,knobbed,gap,
pad,flat rail,gap,,rail to rail to rail,over rail,pad,
flat rail,handrail,pad,into bank,,,flat rail,into bank
flat rail,gap,stairs,gap to rail,,up stairs,flat rail,gap to rail
gap,gap,gap,over barrier,flat gap,into bank,gap,over barrier
pad,gap,gap,into bank,stairs to flat gap,flat gap,pad,into bank
,stairs,gap,,,,gap,over barrier
,flat rail,gap,,uprail,,pad,
,flat rail,ledge,,,bump to bar to ledge,gap,flat gap
,pad,gap,,,,ledge,ledge to drop
,transition,ledge,,,,ledge,
,flat,handrail,,into bank,,hubba,up hubba
,ledge,flat rail,,over rail to ledge,into bank,stairs,
,gap,hubba,,bump to bar,up hubba,gap,over rail
,hubba,ledge,,hubba to curb,out ledge,handrail,
,gap,gap,,gap to hubba,over handrail,flat rail,curved rail
,,,,,,wall,wallride down stairs
,,,,,,gap,over trash can
,,,,,,pad,
,,,,,,hubba,
,,,,,,ledge,gap to ledge into bank
,,,,,,stairs,
,,,,,,ledge,curved bench
,,,,,,wall,
,,,,,,ledge,
,,,,,,gap,big drop
,,,,,,stairs,
,,,,,,curb,
,,,,,,flat,into bank
,,,,,,flat,
,,,,,,flat rail,pole to flat rail to into bank
,,,,,,pad,
,,,,,,pad,
,,,,,,ledge,out ledge
,,,,,,ledge,ledge to flat rail
,,,,,,ledge,
,,,,,,wall,
,,,,,,ledge,ledge to ledge
,,,,,,ledge,
,,,,,,transition,concrete park
,,,,,,ledge,out ledge
,,,,,,ledge,out ledge
,,,,,,stairs,
,,,,,,pad,
,,,,,,ledge,
,,,,,,gap,launch ramp
,,,,,,ledge,
,,,,,,ledge,out ledge
,,,,,,flat,into bank
,,,,,,stairs,
,,,,,,gap,over rail into bank
,,,,,,ledge,ledge to ledge
,,,,,,bank,Drop in
,,,,,,handrail,
,,,,,,ledge,
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,flat gap
,,,,,,gap,over rail into bank
,,,,,,gap,over rail into bank
,,,,,,flat rail,
,,,,,,ledge,
,,,,,,flat rail,
,,,,,,gap,over rail into bank
,,,,,,gap,over bench
,,,,,,ledge,
,,,,,,ledge,
,,,,,,stairs,
,,,,,,gap,flat gap
,,,,,,ledge,curved ledge
,,,,,,gap,wallie to gap
,,,,,,stairs,
,,,,,,wall,wallie to gap
,,,,,,bank,into bank
,,,,,,curb,gap to curb
,,,,,,transition,pool
,,,,,,gap,
,,,,,,gap,over wall
,,,,,,transition,street quarter
,,,,,,stairs,stairs to pad to wall
,,,,,,curb,
,,,,,,pad,
,,,,,,ledge,ledge to pad
,,,,,,ledge,
,,,,,,ledge,gap to ledge
,,,,,,ledge,
,,,,,,pad,pad to gap to bank
,,,,,,ledge,ledge to wall
,,,,,,ledge,out ledge
,,,,,,flat,onto ledge
,,,,,,hubba,ledge to gap
,,,,,,stairs,over chain
,,,,,,gap,onto loading dock
,,,,,,ledge,
,,,,,,gap,curb cut
,,,,,,ledge,
,,,,,,wall,Transition to wall
,,,,,,flat,
,,,,,,stairs,
,,,,,,ledge,out ledge
,,,,,,handrail,
,,,,,,ledge,out ledge
,,,,,,ledge,out ledge
,,,,,,gap,big drop
,,,,,,ledge,on hydrant
,,,,,,flat,over barrier
,,,,,,ledge,
,,,,,,ledge,curved ledge
,,,,,,gap,
,,,,,,gap,
,,,,,,flat,
,,,,,,pad,pad to pad
,,,,,,gap,big drop
,,,,,,stairs,up stairs
,,,,,,flat,
,,,,,,ledge,gap to ledge
,,,,,,ledge,ledge to bank
,,,,,,ledge,
,,,,,,pad,
,,,,,,hubba,
,,,,,,stairs,up stairs
,,,,,,ledge,
,,,,,,handrail,handrail to handrail
,,,,,,gap,launch ramp
,,,,,,pad,
,,,,,,gap,street hip
,,,,,,flat,
,,,,,,ledge,
,,,,,,ledge,curved ledge
,,,,,,pad,pad to stairs
,,,,,,flat rail,
,,,,,,transition,street quarter
,,,,,,gap,into bank
,,,,,,stairs,up stairs
,,,,,,ledge,gap to ledge
,,,,,,gap,bump to bar
,,,,,,hubba,
,,,,,,ledge,
,,,,,,stairs,up stairs
,,,,,,gap,
,,,,,,ledge,
,,,,,,wall,
,,,,,,ledge,gap to ledge into bank
,,,,,,flat,over trash can
,,,,,,ledge,
,,,,,,stairs,
,,,,,,curb,
,,,,,,gap,over rail
,,,,,,flat rail,into bank
,,,,,,ledge,banked ledge
,,,,,,ledge,ledge to wall
,,,,,,ledge,gap to hubba
,,,,,,stairs,up stairs
,,,,,,flat rail,curved rail
,,,,,,ledge,curved ledge
,,,,,,stairs,
,,,,,,ledge,curb to ledge
,,,,,,wall,gap to wall
,,,,,,ledge,gap to ledge
,,,,,,ledge,
,,,,,,gap,
,,,,,,wall,bank to wall
,,,,,,ledge,wall to ledge
,,,,,,ledge,
,,,,,,ledge,wall to banked ledge
,,,,,,transition,fly out
,,,,,,gap,into bank
,,,,,,bank,flat bank to curb
,,,,,,stairs,
,,,,,,ledge,launch to ledge
,,,,,,wall,wall to gap
,,,,,,ledge,
,,,,,,pad,pad to bank
,,,,,,stairs,
,,,,,,gap,
,,,,,,ledge,
,,,,,,flat,
,,,,,,handrail,rail to gap
,,,,,,handrail,handrail to ledge
,,,,,,wall,on tree
,,,,,,ledge,
,,,,,,gap,
,,,,,,gap,flat gap
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,pad,
,,,,,,gap,
,,,,,,gap,over rail
,,,,,,ledge,ledge to gap
,,,,,,handrail,
,,,,,,flat,over trash can
,,,,,,hubba,up hubba
,,,,,,gap,
,,,,,,curb,
,,,,,,gap,
,,,,,,flat,into bank
,,,,,,ledge,gap to ledge
,,,,,,ledge,
,,,,,,handrail,
,,,,,,handrail,handrail to ledge
,,,,,,stairs,over rail
,,,,,,stairs,
,,,,,,transition,concrete park
,,,,,,ledge,
,,,,,,ledge,
,,,,,,flat,into bank
,,,,,,stairs,over rail
,,,,,,stairs,
,,,,,,ledge,
,,,,,,gap,off egg
,,,,,,hubba,wall to hubba
,,,,,,stairs,over rail
,,,,,,ledge,
,,,,,,pad,
,,,,,,ledge,
,,,,,,flat,over bench
,,,,,,handrail,curved rail
,,,,,,gap,
,,,,,,handrail,curved rail
,,,,,,gap,bump to bar
,,,,,,wall,
,,,,,,gap,
,,,,,,flat,over barrier
,,,,,,flat rail,into bank
,,,,,,curb,gap to curb
,,,,,,flat,into bank
,,,,,,gap,
,,,,,,flat rail,
,,,,,,flat,
,,,,,,flat rail,wall to gap to rail to bank
,,,,,,stairs,over rail
,,,,,,gap,over barrier
,,,,,,ledge,
,,,,,,stairs,
,,,,,,stairs,
,,,,,,ledge,banked ledge
,,,,,,flat rail,bank to rail
,,,,,,flat rail,
,,,,,,wall,
,,,,,,flat rail,into bank
,,,,,,gap,over rail
,,,,,,gap,over car hood
,,,,,,ledge,gap to ledge
,,,,,,ledge,
