obs20,obs21,obs22,det20,det21,det22,allyears,alldets
,,,,,,ledge,
,,,,,,gap,
,,,,,,pad,gap to pad
,,,,,,ledge,rail to ledge
,,,,,,bank,into bank
,,,,,,ledge,
,,,,,,stairs,
,,,,,,gap,
,,,,,,stairs,
,,,,,,ledge,
,,,,,,flat,
,,,,,,ledge,
,,,,,,hubba,
,,,,,,ledge,ledge to pad to gap
,,,,,,wall,wall to gap
,,,,,,handrail,
,,,,,,handrail,
,,,,,,handrail,flat rail to handrail
,,,,,,ledge,
,,,,,,transition,miniramp
,,,,,,ledge,ledge to curb
,,,,,,ledge,ledge to drop
,,,,,,gap,bump to bar
,,,,,,handrail,
,,,,,,ledge,
,,,,,,hubba,
,,,,,,handrail,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,sphere
,,,,,,pad,
,,,,,,gap,kicker to kicker
,,,,,,gap,
,,,,,,ledge,banked ledge
,,,,,,stairs,
,,,,,,pad,pad to ledge
,,,,,,ledge,
,,,,,,hubba,
,,,,,,hubba,
,,,,,,curb,
,,,,,,ledge,
,,,,,,gap,over rail into bank
,,,,,,pad,
,,,,,,pad,
,,,,,,ledge,ledge to pad
,,,,,,ledge,
,,,,,,handrail,
,,,,,,ledge,ledge to gap
,,,,,,handrail,
,,,,,,flat,
,,,,,,wall,wall to gap
,,,,,,pad,
,,,,,,ledge,curved ledge
,,,,,,ledge,
,,,,,,gap,launch
,,,,,,pad,pad to flat
,,,,,,gap,bump to bar
,,,,,,ledge,out ledge
,,,,,,handrail,into bank
,,,,,,ledge,out ledge
,,,,,,ledge,out ledge
,,,,,,flat rail,ride on
,,,,,,gap,gap
,,,,,,flat,flat gap
,,,,,,flat,over bench
,,,,,,stairs,
,,,,,,flat rail,street pole
,,,,,,handrail,
,,,,,,hubba,
,,,,,,transition,street quarter
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,over pad
,,,,,,wall,
,,,,,,pad,pad to stairs
,,,,,,stairs,
,,,,,,stairs,
,,,,,,wall,down stairs
,,,,,,pad,
,,,,,,bank,
,,,,,,ledge,flat to ledge
,,,,,,gap,over rail
,,,,,,gap,over bin
,,,,,,gap,over pad
,,,,,,ledge,curved ledge
,,,,,,transition,bowl
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,hubba,
,,,,,,gap,kicker
,,,,,,ledge,gap in gap out
,,,,,,ledge,curved ledge
,,,,,,handrail,
,,,,,,ledge,
,,,,,,hubba,
,,,,,,handrail,
,,,,,,gap,over rail
,,,,,,flat rail,
,,,,,,gap,
,,,,,,pad,
,,,,,,gap,
,,,,,,transition,
,,,,,,ledge,banked ledge
,,,,,,stairs,
,,,,,,hubba,
,,,,,,wall,bank to wall
,,,,,,hubba,
,,,,,,flat,flat gap
,,,,,,transition,
,,,,,,ledge,
,,,,,,pad,
,,,,,,ledge,
,,,,,,gap,over trash can
,,,,,,gap,
,,,,,,ledge,
,,,,,,pad,pad to gap
,,,,,,flat,
,,,,,,ledge,bank to ledge
,,,,,,ledge,
,,,,,,hubba,hubba to pad to stairs
,,,,,,ledge,ledge to gap
,,,,,,gap,over barrier
,,,,,,flat,over bench
,,,,,,wall,wall to curb to bank
,,,,,,ledge,
,,,,,,wall,wall gap wall
,,,,,,ledge,ledge into bank
,,,,,,ledge,
,,,,,,hubba,
,,,,,,pad,pad to drop
,,,,,,flat rail,curved rail
,,,,,,ledge,bank to ledge
,,,,,,wall,
,,,,,,hubba,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,out ledge
,,,,,,hubba,
,,,,,,hubba,wavy hubba
,,,,,,ledge,curved ledge
,,,,,,ledge,
,,,,,,wall,
,,,,,,ledge,ledge to gap
,,,,,,gap,
,,,,,,ledge,out ledge
,,,,,,flat,
,,,,,,ledge,out ledge
,,,,,,gap,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,flat,into bank
,,,,,,pad,
,,,,,,ledge,
,,,,,,handrail,
,,,,,,ledge,
,,,,,,ledge,out ledge
,,,,,,gap,into bank
,,,,,,ledge,out ledge
,,,,,,ledge,curved up ledge
,,,,,,flat,into bank
,,,,,,hubba,
,,,,,,gap,channel
,,,,,,gap,into bank
,,,,,,ledge,curved ledge
,,,,,,gap,over ledge
,,,,,,ledge,out ledge
,,,,,,stairs,
,,,,,,flat rail,rail to gap
,,,,,,stairs,over rail
,,,,,,gap,bump to bump
,,,,,,ledge,bump to ledge
,,,,,,pad,
,,,,,,gap,
,,,,,,gap,into fountain
,,,,,,ledge,ledge to ledge
,,,,,,gap,huge gap
,,,,,,ledge,
,,,,,,flat rail,curved rail
,,,,,,flat,over trash can
,,,,,,pad,bump to pad
,,,,,,ledge,banked ledge
,,,,,,flat,over rail
,,,,,,ledge,ledge to bank
,,,,,,hubba,curved hubba
,,,,,,ledge,
,,,,,,ledge,ledge to hubba
,,,,,,pad,
,,,,,,ledge,bank to ledge
,,,,,,stairs,
,,,,,,stairs,
,,,,,,flat rail,middle rail
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,bump to gap
,,,,,,pad,
,,,,,,flat rail,bench to rail to bench
,,,,,,flat rail,
,,,,,,stairs,
,,,,,,flat,over hydrant
,,,,,,pad,pad to ledge
,,,,,,pad,pad to stairs
,,,,,,ledge,
,,,,,,wall,gap to wall
,,,,,,gap,flat gap
,,,,,,hubba,
,,,,,,flat,over like 20 boards
,,,,,,stairs,over gate
,,,,,,stairs,up stairs
,,,,,,handrail,
,,,,,,ledge,bank to ledge
,,,,,,ledge,
,,,,,,ledge,up ledge
,,,,,,ledge,into bank
,,,,,,ledge,gap to ledge
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,into bank
,,,,,,ledge,
,,,,,,gap,
,,,,,,ledge,
,,,,,,gap,
,,,,,,flat rail,uprail
,,,,,,ledge,
,,,,,,gap,bump to car
,,,,,,flat rail,rail into bank
,,,,,,ledge,into halfpipe
,,,,,,ledge,
,,,,,,gap,over rail into bank
,,,,,,flat,
,,,,,,ledge,
,,,,,,ledge,ledge to ledge
,,,,,,curb,gap to curb
,,,,,,gap,over rail into bank
,,,,,,ledge,out ledge
,,,,,,gap,bump to gap
,,,,,,wall,quarter to wall
,,,,,,gap,flat gap
,,,,,,pad,
,,,,,,handrail,
,,,,,,gap,bump to gap
,,,,,,stairs,
,,,,,,ledge,ledge to ledge
,,,,,,gap,
,,,,,,pad,
,,,,,,flat rail,rail to rail to rail
,,,,,,handrail,
,,,,,,gap,
,,,,,,gap,flat gap
,,,,,,gap,stairs to flat gap
,,,,,,stairs,
,,,,,,flat rail,uprail
,,,,,,flat rail,
,,,,,,pad,
,,,,,,transition,
,,,,,,flat,into bank
,,,,,,ledge,over rail to ledge
,,,,,,gap,bump to bar
,,,,,,hubba,hubba to curb
,,,,,,gap,gap to hubba
,,,,,,ledge,barrier
,,,,,,ledge,
,,,,,,curb,curved ledge
,,,,,,gap,gap to pad to gap
,,,,,,ledge,bench
,,,,,,flat rail,rail to rail
,,,,,,ledge,ledge to rail
,,,,,,wall,into bank
,,,,,,ledge,out ledge
,,,,,,stairs,stairs to disaster
,,,,,,pad,pad to chain
,,,,,,pad,
,,,,,,gap,
,,,,,,flat rail,
,,,,,,ledge,ledge to ledge
,,,,,,stairs,
,,,,,,pole jam,pole jam flat pole jam
,,,,,,ledge,into bank
,,,,,,gap,flat gap
,,,,,,ledge,gap to ledge
,,,,,,ledge,bank to ledge
,,,,,,pad,ledge to pad
,,,,,,handrail,up rail to gap
,,,,,,transition,street transition
,,,,,,hubba,hubba
,,,,,,handrail,
,,,,,,ledge,out ledge
,,,,,,stairs,
,,,,,,ledge,
,,,,,,ledge,ledge to gap
,,,,,,flat rail,keyhole
,,,,,,flat rail,into bank
,,,,,,handrail,into bank
,,,,,,transition,on chains
,,,,,,ledge,out ledge
,,,,,,pad,pad to ledge to pad
,,,,,,ledge,
,,,,,,handrail,
,,,,,,ledge,
,,,,,,ledge,into bank
,,,,,,curb,bump to curb
,,,,,,flat rail,out rail
,,,,,,flat,over can
,,,,,,curb,gap to curb
,,,,,,gap,into bank
,,,,,,hubba,curved hubba
,,,,,,bank,bank to bank to bank
,,,,,,handrail,
,,,,,,handrail,
,,,,,,gap,flat gap
,,,,,,ledge,
,,,,,,flat,over ledge
,,,,,,handrail,
,,,,,,pad,
,,,,,,ledge,wall to ledge
,,,,,,pad,flat
,,,,,,handrail,
,,,,,,ledge,out ledge
,,,,,,pad,into bank
,,,,,,pad,
,,,,,,stairs,sign on stairs
,,,,,,ledge,
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,pad,
,,,,,,stairs,
,,,,,,flat rail,bump to bar
,,,,,,handrail,handrail to ledge
,,,,,,ledge,table
,,,,,,stairs,
,,,,,,ledge,benches
,,,,,,ledge,
,,,,,,ledge,ledge to wall
,,,,,,ledge,
,,,,,,flat rail,
,,,,,,gap,over rail
,,,,,,ledge,out ledge
,,,,,,handrail,
,,,,,,gap,
,,,,,,ledge,into bank
,,,,,,flat rail,
,,,,,,stairs,
,,,,,,curb,over fence
,,,,,,gap,
,,,,,,ledge,out ledge
,,,,,,hubba,
,,,,,,ledge,bump to dumpster
,,,,,,flat rail,bank to rail
,,,,,,gap,
,,,,,,transition,street transition
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,flat rail,bench
,,,,,,ledge,
,,,,,,ledge,triple drop
,,,,,,ledge,bump to ledge
,,,,,,wall,
,,,,,,gap,
,,,,,,flat rail,gap to rail
,,,,,,pad,pad to ledge
,,,,,,curb,gap to curb
,,,,,,ledge,curved ledge
,,,,,,flat rail,into bank
,,,,,,ledge,into bank
,,,,,,stairs,
,,,,,,ledge,to pad to ledge
,,,,,,ledge,to hubba
,,,,,,ledge,into bank
,,,,,,stairs,
,,,,,,ledge,
,,,,,,bank,
,,,,,,ledge, 
,,,,,,flat,into bank
,,,,,,gap,bump to gap
,,,,,,gap,bump to gap
,,,,,,gap,into bank
,,,,,,ledge,
,,,,,,gap,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,over can
,,,,,,stairs,
,,,,,,gap,
,,,,,,ledge,bump to ledge
,,,,,,bank,escalator
,,,,,,ledge,
,,,,,,stairs,
,,,,,,handrail,
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,ledge,banked ledge
,,,,,,gap,into bank to drop
,,,,,,stairs, 
,,,,,,ledge,curb
,,,,,,pad,
,,,,,,gap,into bank
,,,,,,hubba,up hubba
,,,,,,ledge,
,,,,,,pad,pad to bank
,,,,,,bank,
,,,,,,hubba,hubba to ledge
,,,,,,curb,gap to curb
,,,,,,flat rail,bank to rail
,,,,,,stairs,
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,handrail,
,,,,,,gap,stairs
,,,,,,stairs,
,,,,,,ledge,
,,,,,,stairs,
,,,,,,ledge,bank to wall to ledge
,,,,,,ledge,
,,,,,,gap,
,,,,,,ledge,escalator
,,,,,,gap,
,,,,,,ledge,curved ledge
,,,,,,ledge,curved ledge
,,,,,,curb,
,,,,,,pad,pad to ledge
,,,,,,ledge,
,,,,,,curb,curb to curb
,,,,,,gap,over block
,,,,,,ledge,bump to ledge
,,,,,,hubba, 
,,,,,,handrail,
,,,,,,handrail,double kink
,,,,,,gap,bank
,,,,,,curb,
,,,,,,ledge,
,,,,,,pad,pad to drop
,,,,,,flat rail,
,,,,,,ledge,out ledge
,,,,,,gap,flat gap
,,,,,,gap,
,,,,,,flat rail,out rail
,,,,,,hubba,
,,,,,,stairs,
,,,,,,transition,street transition
,,,,,,ledge,ledge to drop
,,,,,,ledge,banked ledge
,,,,,,gap,over can
,,,,,,bank,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,curb,gap to curb
,,,,,,gap,over pad
,,,,,,flat,over can
,,,,,,stairs,
,,,,,,ledge,curved ledge
,,,,,,pad,playground 
,,,,,,gap,bump to gap
,,,,,,ledge,drop
,,,,,,gap,duck under pole
,,,,,,ledge,
,,,,,,pad,
,,,,,,gap,flat gap
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,wall,
,,,,,,flat rail,
,,,,,,ledge,bank to ledge
,,,,,,ledge,ledge to gap
,,,,,,ledge,ledge to gap
,,,,,,bank,channel
,,,,,,ledge,
,,,,,,stairs,
,,,,,,handrail,
,,,,,,gap,over rail
,,,,,,ledge,
,,,,,,flat rail,
,,,,,,gap,over can
,,,,,,gap,to drop to drop to drop
,,,,,,ledge,gap to ledge
,,,,,,gap,over rail into bank
,,,,,,handrail,wall to handrail
,,,,,,stairs,
,,,,,,handrail,
,,,,,,gap,escalator
,,,,,,hubba,kinked hubba
,,,,,,gap,over rail
,,,,,,pad,into bank
,,,,,,flat rail,pole to gap to rail
,,,,,,wall,wall to stairs
,,,,,,stairs,
,,,,,,stairs,over rail
,,,,,,ledge,curved ledge
,,,,,,ledge,gap to ledge to gap
,,,,,,ledge,
,,,,,,ledge,
,,,,,,flat rail,pipes
,,,,,,curb,
,,,,,,ledge,over bike
,,,,,,transition,street transition
,,,,,,curb,
,,,,,,curb,drop to curb
,,,,,,handrail,handrail to hubba
,,,,,,pad,chain to pad
,,,,,,curb,
,,,,,,ledge,
,,,,,,wall,
,,,,,,stairs,
,,,,,,curb,gap to curb to gap
,,,,,,gap,flat gap to bank
,,,,,,ledge,curved ledge
,,,,,,ledge,
,,,,,,gap,flat gap
,,,,,,stairs,
,,,,,,ledge,gap to ledge
,,,,,,stairs,
,,,,,,ledge,out ledge
,,,,,,transition,hip
,,,,,,gap,bump to bar
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,ledge,
,,,,,,pad,
,,,,,,gap,over wall
,,,,,,stairs,
,,,,,,ledge,out ledge
,,,,,,ledge,
,,,,,,stairs,
,,,,,,pad,
,,,,,,stairs,
,,,,,,stairs,
,,,,,,wall,gap to wall
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,over rail
,,,,,,transition,
,,,,,,gap,over can
,,,,,,stairs,
,,,,,,hubba,hubba to ledge
,,,,,,ledge,out ledge
,,,,,,wall,wall to bank
,,,,,,flat rail,into bank
,,,,,,hubba,
,,,,,,ledge,ledge to rail to handrail
,,,,,,pad,pad to handrail
,,,,,,gap,
,,,,,,ledge,out ledge
,,,,,,pad,pad to wall to pad
,,,,,,ledge,bump to can
,,,,,,gap,into bank
,,,,,,ledge,
,,,,,,ledge,
,,,,,,stairs, 
,,,,,,ledge,
,,,,,,wall,
,,,,,,flat rail,drop to rail
,,,,,,ledge,
,,,,,,gap,into bank
,,,,,,stairs,
,,,,,,ledge,gap to ledge
,,,,,,ledge,ledge to gap
,,,,,,wall,on mailbox
,,,,,,gap,over trash can
,,,,,,flat rail,rail to stump to rail
,,,,,,ledge,ledge to stairs
,,,,,,ledge,
,,,,,,flat rail,glass barrier to drop
,,,,,,stairs,
,,,,,,stairs,
,,,,,,handrail,
,,,,,,flat,into bank
,,,,,,flat rail,into bank
,,,,,,flat rail,into bank
,,,,,,gap,bump to bar
,,,,,,transition,street transition
,,,,,,gap,
,,,,,,stairs,
,,,,,,gap,flat gap
,,,,,,ledge,ledge to gap
,,,,,,ledge,ledge to gap
,,,,,,gap,over can
,,,,,,ledge,
,,,,,,ledge,curved ledge
,,,,,,bank,over hip and rail
,,,,,,wall,
,,,,,,flat,bump to bar
,,,,,,ledge,
,,,,,,flat,
,,,,,,gap,into bank
,,,,,,gap,bump to bar
,,,,,,handrail,into bank
,,,,,,ledge,bank to ledge
,,,,,,hubba,to handrail
,,,,,,wall,
,,,,,,ledge,out ledge
,,,,,,stairs,into hill
,,,,,,transition,quarterpipe
,,,,,,gap,
,,,,,,pad,to wall
,,,,,,wall,wall to gap
,,,,,,gap,bump to bar
,,,,,,handrail,
,,,,,,gap,flat gap
,,,,,,wall,
,,,,,,ledge,out ledge
,,,,,,transition,concrete skatepark
,,,,,,ledge,
,,,,,,ledge,
,,,,,,stairs,
,,,,,,ledge,
,,,,,,ledge,to wall
,,,,,,handrail,
,,,,,,gap,into bank
,,,,,,gap,bump to can
,,,,,,stairs,
,,,,,,ledge,to ledge
,,,,,,ledge,
,,,,,,gap,into bank
,,,,,,flat rail, 
,,,,,,stairs,double set
,,,,,,flat rail,up and down
,,,,,,ledge,out ledge
,,,,,,gap,flat gap
,,,,,,gap,bump to bar
,,,,,,handrail,quad kink
,,,,,,stairs,double set
,,,,,,pad,to stairs
,,,,,,pad,to wall
,,,,,,hubba,to can
,,,,,,ledge,
,,,,,,hubba,
,,,,,,ledge,
,,,,,,gap,channel
,,,,,,handrail,around corner
,,,,,,wall,to stairs
,,,,,,ledge,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,pad,pad to flat gap
,,,,,,gap,concrete skatepark
,,,,,,wall,
,,,,,,gap,into pole jam
,,,,,,flat rail,into hill
,,,,,,flat rail,into hill
,,,,,,ledge,
,,,,,,stairs,
,,,,,,pad,
,,,,,,gap,
,,,,,,flat rail,curved rail
,,,,,,ledge,
,,,,,,gap,over table
,,,,,,gap,bump to bar
,,,,,,pad,
,,,,,,pad,into bank
,,,,,,gap,
,,,,,,flat,into bank
,,,,,,wall,to ledge
,,,,,,handrail,
,,,,,,pad,concrete skatepark
,,,,,,pad,
,,,,,,wall,to ledge
,,,,,,handrail,handrail to hubba
,,,,,,stairs,
,,,,,,gap,onto ball
,,,,,,flat rail,into bank
,,,,,,pad,
,,,,,,hubba,
,,,,,,ledge,ledge to ledge
,,,,,,ledge,ledge to pad to stairs
,,,,,,gap,flat gap
,,,,,,pole jam,
,,,,,,ledge,
,,,,,,flat rail,
,,,,,,gap,bump to bar to ledge
,,,,,,curb,
,,,,,,transition,street transition
,,,,,,transition,street transition
,,,,,,ledge,to stairs
,,,,,,ledge,
,,,,,,pad,gap to pad
,,,,,,ledge,curved ledge
,,,,,,gap,over rail into bank
,,,,,,flat rail,curved rail
,,,,,,gap,over rail into double bank
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,
,,,,,,ledge,
,,,,,,ledge,
,,,,,,gap,over hydrant
,,,,,,gap,into bank
,,,,,,gap,bump to gap
,,,,,,ledge,out ledge
,,,,,,gap,up gap
,,,,,,pad,
,,,,,,flat,
,,,,,,ledge,gap to ledge to ledge
,,,,,,hubba,
,,,,,,stairs,
,,,,,,gap,
,,,,,,ledge,
,,,,,,ledge,into bank
,,,,,,flat,over block
,,,,,,gap,over wall
,,,,,,transition,miniramp
,,,,,,gap,bump to gap
,,,,,,ledge,
,,,,,,pad,pad to pad
,,,,,,gap,into hill
,,,,,,ledge,into bank
,,,,,,flat rail,up rail
,,,,,,ledge,
,,,,,,flat rail,bump to rail
,,,,,,wall,bank to wall
,,,,,,flat rail,tram tracks
,,,,,,ledge,curved ledge
,,,,,,pad,into bank
,,,,,,pad,
,,,,,,stairs,
,,,,,,ledge,
,,,,,,ledge,into bank
,,,,,,stairs,
,,,,,,transition,concrete skatepark
,,,,,,flat,into bank
,,,,,,ledge,out ledge
,,,,,,gap,
,,,,,,wall,kicker to wall
,,,,,,ledge,
,,,,,,flat rail,rail to gap
,,,,,,ledge,up ledge
,,,,,,gap,rooftop
,,,,,,stairs,
,,,,,,pad,pad to hubba
,,,,,,gap,over picnic table
,,,,,,wall,
,,,,,,ledge,into bank
,,,,,,stairs,
,,,,,,ledge,into bank
,,,,,,ledge,
,,,,,,flat rail,rail to rail
,,,,,,ledge,
,,,,,,ledge,into bank
,,,,,,hubba,
,,,,,,ledge,out ledge
,,,,,,curb,around corner
,,,,,,ledge,
,,,,,,handrail,
,,,,,,stairs,
,,,,,,handrail,knobbed
,,,,,,gap,over rail
,,,,,,pad,
,,,,,,stairs,up stairs
,,,,,,gap,into bank
,,,,,,gap,flat gap
,,,,,,gap,
,,,,,,gap,
,,,,,,ledge,bump to bar to ledge
,,,,,,gap,
,,,,,,ledge,
,,,,,,handrail,
,,,,,,flat rail,into bank
,,,,,,hubba,up hubba
,,,,,,ledge,out ledge
,,,,,,gap,over handrail